Price/month,Type,Acreage,Bedrooms,Rental type
€1.125,Apartment ,27 m²,1 bedroom,Co-living
€1100 - €1500,Apartment ,80 m²,2 Bedrooms ,Private landlord
€800,Apartment ,15 m²,1 bedroom,Rental company
€2.200,Apartment ,65 m²,1 bedroom,Private landlord
€1.150,Apartment ,45 m²,1 bedroom,Rental company
€1.200,House ,70 m²,2 Bedrooms ,Private landlord
€1.440,Apartment ,45 m²,1 bedroom,Co-living
€1.200,Apartment ,45 m²,1 bedroom,Rental company
€1.250,Apartment ,35 m²,1 bedroom,Rental company
€1.432,Apartment ,28 m²,1 bedroom,Rental company
€1.443,Apartment ,32 m²,1 bedroom,Rental company
€1.438,Apartment ,26 m²,1 bedroom,Rental company
€1.700,Apartment ,52 m²,1 bedroom,Rental company
€1430 - €1788,Apartment ,31 m²,1 bedroom,Rental company
€1.117,Apartment ,20 m²,1 bedroom,Rental company
€1.470,Apartment ,26 m²,1 bedroom,Rental company
€1.355,Apartment ,25 m²,1 bedroom,Rental company
€1.624,Apartment ,33 m²,1 bedroom,Rental company
€1.618,Apartment ,33 m²,1 bedroom,Rental company
€1.378,Apartment ,30 m²,1 bedroom,Rental company
€1540 - €3080,Apartment ,27 m²,1 bedroom,Rental company
€1.430,Apartment ,24 m²,1 bedroom,Rental company
€1320 - €1640,Apartment ,45 m²,1 bedroom,Co-living
€1484 - €3710,Apartment ,29 m²,1 bedroom,Rental company
€2.530,Apartment ,54 m²,1 bedroom,Rental company
€2.250,Apartment ,50 m²,1 bedroom,Rental company
€1.728,Apartment ,44 m²,1 bedroom,Rental company
€1.726,Apartment ,30 m²,1 bedroom,Rental company
€1579 - €3159,Apartment ,30 m²,1 bedroom,Rental company
€1.760,Apartment ,28 m²,1 bedroom,Rental company
€1.730,Apartment ,26 m²,1 bedroom,Rental company
€1.760,Apartment ,35 m²,1 bedroom,Rental company
€1.836,Apartment ,34 m²,1 bedroom,Rental company
€1.855,Apartment ,57 m²,1 bedroom,Rental company
€1.836,Apartment ,36 m²,1 bedroom,Rental company
€1.853,Apartment ,39 m²,1 bedroom,Rental company
€1.834,Apartment ,50 m²,1 bedroom,Rental company
€1.400,Apartment ,37 m²,1 bedroom,Rental company
€1.870,Apartment ,29 m²,1 bedroom,Rental company
€1.324,Apartment ,25 m²,1 bedroom,Rental company
€1.800,Apartment ,33 m²,1 bedroom,Rental company
€1.908,Apartment ,49 m²,1 bedroom,Rental company
€1.908,Apartment ,32 m²,1 bedroom,Rental company
€1.908,Apartment ,22 m²,1 bedroom,Rental company
€1.908,Apartment ,39 m²,1 bedroom,Rental company
€1.908,Apartment ,45 m²,1 bedroom,Rental company
€1.908,Apartment ,50 m²,2 Bedrooms ,Rental company
€1.926,Apartment ,50 m²,1 bedroom,Rental company
€1.997,Apartment ,45 m²,1 bedroom,Rental company
€1.978,Apartment ,34 m²,1 bedroom,Rental company
€1.981,Apartment ,39 m²,1 bedroom,Rental company
€1.978,Apartment ,45 m²,1 bedroom,Rental company
€2.090,Apartment ,30 m²,1 bedroom,Rental company
€1.997,Apartment ,34 m²,1 bedroom,Rental company
€1.728,Apartment ,28 m²,1 bedroom,Rental company
€1.960,Apartment ,42 m²,1 bedroom,Rental company
€1.484,Apartment ,29 m²,1 bedroom,Rental company
€2.014,Apartment ,41 m²,1 bedroom,Rental company
€2.014,Apartment ,38 m²,1 bedroom,Rental company
€2.014,Apartment ,28 m²,1 bedroom,Rental company
€2.014,Apartment ,46 m²,1 bedroom,Rental company
€2.400,Apartment ,45 m²,1 bedroom,Rental company
€2.014,Apartment ,55 m²,1 bedroom,Rental company
€2.750,Apartment ,56 m²,2 Bedrooms ,Rental company
€2.068,Apartment ,34 m²,1 bedroom,Rental company
€1.567,Apartment ,33 m²,1 bedroom,Rental company
€1.567,Apartment ,40 m²,1 bedroom,Rental company
€1.300,Apartment ,23 m²,1 bedroom,Private landlord
€1.304,Apartment ,23 m²,1 bedroom,Rental company
€3052 - €3540,Apartment ,44 m²,1 bedroom,Rental company
€2.088,Apartment ,43 m²,1 bedroom,Rental company
€1.570,Apartment ,30 m²,1 bedroom,Rental company
€1.590,Apartment ,29 m²,1 bedroom,Rental company
€1.590,Apartment ,27 m²,1 bedroom,Rental company
€1.590,Apartment ,38 m²,1 bedroom,Rental company
€1.590,Apartment ,39 m²,1 bedroom,Rental company
€1.358,Apartment ,17 m²,1 bedroom,Rental company
€1.590,Apartment ,30 m²,1 bedroom,Rental company
€1.595,Apartment ,30 m²,1 bedroom,Rental company
€1.595,Apartment ,41 m²,1 bedroom,Rental company
€1.618,Apartment ,30 m²,1 bedroom,Rental company
€1579 - €2109,Apartment ,30 m²,1 bedroom,Rental company
€2.530,Apartment ,42 m²,1 bedroom,Rental company
€1590 - €1988,Apartment ,29 m²,1 bedroom,Rental company
€1.618,Apartment ,44 m²,1 bedroom,Rental company
€1.673,Apartment ,31 m²,1 bedroom,Rental company
€1.630,Apartment ,26 m²,1 bedroom,Rental company
€2991 - €3723,Apartment ,37 m²,1 bedroom,Rental company
€2.233,Apartment ,51 m²,2 Bedrooms ,Rental company
€1538 - €3180,Apartment ,24 m²,1 bedroom,Rental company
€3440 - €5240,Apartment ,70 m²,2 Bedrooms ,Private landlord
€2109 - €3169,Apartment ,40 m²,1 bedroom,Rental company
€2.205,Apartment ,52 m²,2 Bedrooms ,Rental company
€1.166,Apartment ,21 m²,1 bedroom,Rental company
€1.650,Apartment ,41 m²,1 bedroom,Rental company
€1.686,Apartment ,50 m²,1 bedroom,Rental company
€1.710,Apartment ,22 m²,1 bedroom,Rental company
€1.450,Apartment ,29 m²,1 bedroom,Rental company
€2.200,Apartment ,51 m²,1 bedroom,Rental company
€2.268,Apartment ,50 m²,1 bedroom,Rental company
€2.268,Apartment ,34 m²,1 bedroom,Rental company
€3418 - €3784,Apartment ,72 m²,2 Bedrooms ,Rental company
€1.744,Apartment ,35 m²,1 bedroom,Rental company
€1590 - €3180,Apartment ,35 m²,1 bedroom,Rental company
€2.351,Apartment ,30 m²,1 bedroom,Rental company
€1.767,Apartment ,29 m²,1 bedroom,Rental company
€1.753,Apartment ,48 m²,1 bedroom,Rental company
€1.239,Apartment ,25 m²,1 bedroom,Rental company
€1.759,Apartment ,27 m²,1 bedroom,Rental company
€1.800,Apartment ,30 m²,1 bedroom,Rental company
€2.280,Apartment ,37 m²,1 bedroom,Rental company
€2.280,Apartment ,52 m²,1 bedroom,Rental company
€1.802,Apartment ,35 m²,1 bedroom,Rental company
€1.802,Apartment ,39 m²,1 bedroom,Rental company
€2.500,Apartment ,45 m²,1 bedroom,Rental company
€1.819,Apartment ,32 m²,1 bedroom,Rental company
€1819 - €2247,Apartment ,33 m²,1 bedroom,Rental company
€1.750,Apartment ,48 m²,1 bedroom,Private landlord
€1.750,Apartment ,35 m²,1 bedroom,Private landlord
€2.332,Apartment ,70 m²,2 Bedrooms ,Rental company
€1.841,Apartment ,52 m²,1 bedroom,Rental company
€1696 - €3392,Apartment ,20 m²,1 bedroom,Rental company
€1.585,Apartment ,30 m²,1 bedroom,Rental company
€1.847,Apartment ,41 m²,1 bedroom,Rental company
€2.109,Apartment ,46 m²,1 bedroom,Rental company
€1.590,Apartment ,49 m²,1 bedroom,Rental company
€1.590,Apartment ,41 m²,1 bedroom,Rental company
€1.595,Apartment ,25 m²,1 bedroom,Rental company
€1.366,Apartment ,28 m²,1 bedroom,Rental company
€1.909,Apartment ,59 m²,1 bedroom,Rental company
€1748 - €3284,Apartment ,29 m²,1 bedroom,Rental company
€1.367,Apartment ,35 m²,1 bedroom,Rental company
€1.378,Apartment ,30 m²,1 bedroom,Rental company
€1670 - €4307,Apartment ,35 m²,1 bedroom,Rental company
€1.378,Apartment ,19 m²,1 bedroom,Rental company
€1.896,Apartment ,45 m²,1 bedroom,Rental company
€2.438,Apartment ,51 m²,1 bedroom,Rental company
€2.438,Apartment ,45 m²,1 bedroom,Rental company
€1781 - €3564,Apartment ,35 m²,1 bedroom,Rental company
€1.950,Apartment ,41 m²,1 bedroom,Rental company
€1.944,Apartment ,36 m²,1 bedroom,Rental company
€1.944,Apartment ,39 m²,1 bedroom,Rental company
€3.100,Apartment ,22 m²,1 bedroom,Rental company
€2.455,Apartment ,36 m²,1 bedroom,Rental company
€1.997,Apartment ,35 m²,1 bedroom,Rental company
€1.478,Apartment ,37 m²,1 bedroom,Rental company
€2.350,Apartment ,81 m²,1 bedroom,Private landlord
€2.800,Apartment ,68 m²,2 Bedrooms ,Private landlord
€1.744,Apartment ,34 m²,1 bedroom,Rental company
€3784 - €4352,Apartment ,55 m²,1 bedroom,Rental company
€2869 - €4578,Apartment ,70 m²,2 Bedrooms ,Rental company
€2.970,Apartment ,62 m²,1 bedroom,Rental company
€2.014,Apartment ,48 m²,1 bedroom,Rental company
€2.014,Apartment ,59 m²,2 Bedrooms ,Rental company
€2.014,Apartment ,66 m²,1 bedroom,Rental company
€2.014,Apartment ,60 m²,1 bedroom,Rental company
€2.014,Apartment ,39 m²,1 bedroom,Rental company
€1.976,Apartment ,36 m²,1 bedroom,Rental company
€2.361,Apartment ,48 m²,1 bedroom,Rental company
€2.544,Apartment ,67 m²,2 Bedrooms ,Rental company
€2.592,Apartment ,65 m²,2 Bedrooms ,Rental company
€1295 - €2749,Apartment ,27 m²,1 bedroom,Rental company
€1.800,Apartment ,36 m²,1 bedroom,Rental company
€2.051,Apartment ,53 m²,1 bedroom,Rental company
€2.051,Apartment ,42 m²,1 bedroom,Rental company
€2991 - €3357,Apartment ,46 m²,1 bedroom,Rental company
€2.051,Apartment ,32 m²,1 bedroom,Rental company
€1969 - €2345,Apartment ,37 m²,1 bedroom,Rental company
€2.068,Apartment ,50 m²,1 bedroom,Rental company
€1908 - €2109,Apartment ,35 m²,1 bedroom,Rental company
€3052 - €3540,Apartment ,45 m²,1 bedroom,Rental company
€1.980,Apartment ,47 m²,1 bedroom,Rental company
€2.999,Apartment ,24 m²,1 bedroom,Rental company
€1.750,Apartment ,49 m²,1 bedroom,Rental company
€4151 - €4517,Apartment ,50 m²,1 bedroom,Rental company
€2.110,Apartment ,51 m²,1 bedroom,Rental company
€2.650,Apartment ,62 m²,1 bedroom,Rental company
€2052 - €3132,Apartment ,29 m²,1 bedroom,Rental company
€1.680,Apartment ,42 m²,1 bedroom,Rental company
€2.150,Apartment ,40 m²,1 bedroom,Rental company
€2.160,Apartment ,59 m²,1 bedroom,Rental company
€1.656,Apartment ,30 m²,1 bedroom,Rental company
€2.189,Apartment ,57 m²,1 bedroom,Rental company
€3.199,Apartment ,36 m²,1 bedroom,Rental company
€3.150,Apartment ,24 m²,1 bedroom,Rental company
€1.750,Apartment ,32 m²,1 bedroom,Rental company
€1938 - €4844,Apartment ,37 m²,1 bedroom,Rental company
€3.750,Apartment ,50 m²,1 bedroom,Rental company
€1.900,Apartment ,22 m²,1 bedroom,Rental company
€2.734,Apartment ,40 m²,1 bedroom,Rental company
€1.443,Apartment ,24 m²,1 bedroom,Rental company
€1.500,Apartment ,28 m²,1 bedroom,Rental company
€2875 - €6853,Apartment ,27 m²,1 bedroom,Rental company
€2438 - €3180,Apartment ,49 m²,2 Bedrooms ,Rental company
€2.268,Apartment ,65 m²,2 Bedrooms ,Rental company
€2.289,Apartment ,66 m²,1 bedroom,Rental company
€2.034,Apartment ,32 m²,1 bedroom,Rental company
€1.473,Apartment ,34 m²,1 bedroom,Rental company
€1.479,Apartment ,29 m²,1 bedroom,Rental company
€4395 - €5005,Apartment ,68 m²,1 bedroom,Rental company
€1.800,Apartment ,25 m²,1 bedroom,Rental company
€2.050,Apartment ,37 m²,1 bedroom,Rental company
€2.808,Apartment ,57 m²,1 bedroom,Rental company
€2.750,Apartment ,45 m²,1 bedroom,Rental company
€1.783,Apartment ,25 m²,1 bedroom,Rental company
€2.280,Apartment ,59 m²,1 bedroom,Rental company
€2.033,Apartment ,40 m²,1 bedroom,Rental company
€1.950,Apartment ,66 m²,2 Bedrooms ,Private landlord
€2.500,House ,150 m²,3 Bedrooms ,Private landlord
€1.553,Apartment ,33 m²,1 bedroom,Rental company
€2.545,Apartment ,54 m²,2 Bedrooms ,Rental company
€3.472,Apartment ,42 m²,1 bedroom,Rental company
€2.300,Apartment ,42 m²,1 bedroom,Rental company
€1340 - €3044,Apartment ,35 m²,1 bedroom,Rental company
€2079 - €2543,Apartment ,39 m²,1 bedroom,Rental company
€2.332,Apartment ,57 m²,1 bedroom,Rental company
€2.650,Apartment ,38 m²,1 bedroom,Rental company
€2.650,Apartment ,50 m²,1 bedroom,Rental company
€2.650,Apartment ,59 m²,2 Bedrooms ,Rental company
€2332 - €3032,Apartment ,57 m²,2 Bedrooms ,Rental company
€2.393,Apartment ,50 m²,2 Bedrooms ,Rental company
€2068 - €2178,Apartment ,34 m²,1 bedroom,Rental company
€2.185,Apartment ,38 m²,1 bedroom,Rental company
€1853 - €5450,Apartment ,39 m²,1 bedroom,Rental company
€1.980,Apartment ,37 m²,1 bedroom,Rental company
€2.484,Apartment ,50 m²,2 Bedrooms ,Rental company
€2.797,Apartment ,34 m²,1 bedroom,Rental company
€3.100,Apartment ,30 m²,1 bedroom,Rental company
€2.507,Apartment ,46 m²,1 bedroom,Rental company
€1.696,Apartment ,46 m²,1 bedroom,Rental company
€3.024,Apartment ,45 m²,1 bedroom,Rental company
€3.041,Apartment ,80 m²,2 Bedrooms ,Rental company
€2.394,Apartment ,50 m²,2 Bedrooms ,Private landlord
€2.003,Apartment ,38 m²,1 bedroom,Rental company
€1.484,Apartment ,28 m²,1 bedroom,Rental company
€1.774,Apartment ,23 m²,1 bedroom,Rental company
€1.484,Apartment ,32 m²,1 bedroom,Rental company
€4761 - €5475,Apartment ,107 m²,2 Bedrooms ,Rental company
€2.014,Apartment ,40 m²,1 bedroom,Rental company
€2332 - €4664,Apartment ,40 m²,1 bedroom,Rental company
€4.800,Apartment ,42 m²,1 bedroom,Rental company
€3.490,Apartment ,90 m²,3 Bedrooms ,Private landlord
€2745 - €6864,Apartment ,59 m²,1 bedroom,Rental company
€4.300,Apartment ,45 m²,1 bedroom,Rental company
€4.494,Apartment ,42 m²,2 Bedrooms ,Rental company
€4.300,Apartment ,60 m²,2 Bedrooms ,Rental company
€2.400,Apartment ,43 m²,1 bedroom,Private landlord
€3.132,Apartment ,76 m²,2 Bedrooms ,Rental company
€2.639,Apartment ,45 m²,1 bedroom,Rental company
€2.120,Apartment ,53 m²,2 Bedrooms ,Rental company
