Property_name,Property_type,Property_size,Total_rooms,Bedrooms,Bathrooms,Location,Price(Euros)
Montmartre - Sacré-coeur - Perfect pied-à-terre with amazing views,Apartments,39,3,1,1,"Paris, Ile-De-France, 75018 France",589999
Renovated flat with open view - Paris 4th - Marais,Apartments,41,2,1,1,"Paris, Ile-De-France, 75004 France",585000
Saint-Germain-des-Prés / rue Cassette,Apartments,37,NA,1,2,"Paris, Ile-De-France, 75006 France",580000
Paris 8 - Champs-Elysées - Deux pièces - Dernier étage,Apartments,45,2,1,2,"Paris, Ile-De-France, 75008 France",580000
Saint-Germain-des-Prés,Apartments,28,NA,1,2,"Paris, Ile-De-France, 75006 France",560000
Saint-Germain-des-Prés,Apartments,28,NA,1,2,"Paris, Ile-De-France, 75006 France",560000
"PARIS 17, MONCEAU PARK",Apartments,43,NA,1,2,"Paris, Ile-De-France, 75017 France",549999
House,Single Family Homes,40,NA,1,2,"Paris, Ile-De-France, 75003 France",548999
Perfect Pied-à-terre in front of the Jardins du Luxembourg,Apartments,40,NA,1,2,"Paris, Ile-De-France, 75006 France",530000
Paris 4th - Place des Vosges,Apartments,27,2,1,1,"Paris, Ile-De-France, 75004 France",524999
Paris 4th. Vosges/Sévigné. Quiet apartment with a view of a wooded garden,Apartments,36,4,1,2,"Paris, Ile-De-France, 75004 France",521999
Prestigious apartment for sale faubourg Saint Germain in Paris 7,Apartments,44,3,1,2,"Paris, Ile-De-France, 75006 France",448999
FOR SALE - Apartment - 1 bedroom - Lamarck-Caulaincourt - 75018 PARIS,Apartments,38,2,1,2,"Paris, Ile-De-France, 75018 France",425000
Studio/Saint Germain-Odéon,Apartments,22,1,NA,NA,"Paris, Ile-De-France, 75006 France",400000
Apartment,Apartments,21,1,NA,1,"Paris, Ile-De-France, 75003 France",329000
Triplex,Apartments,848,12,5,5,"Paris, Ile-De-France, 75007 France",38000000
Prosperous house,Single Family Homes,577,10,7,14,"Paris, Ile-De-France, 75004 France",29599999
Apartment in Paris 8th - Place Beauvau,Apartments,316,8,3,5,"Paris, Ile-De-France, 75008 France",15999999
Triplex,Apartments,375,5,3,2,"Paris, Ile-De-France, 75004 France",15749999
"In a quiet and as in the countryside, magnificent property with works.",Single Family Homes,265,10,3,5,"Paris, Ile-De-France, 75007 France",15600000
Paris XVI - Art deco Penthouse opening on terraces,Apartments,433,10,4,4,"Paris, Ile-De-France, 75016 France",15099999
Mansion,Single Family Homes,618,15,7,7,"Paris, Ile-De-France, 75004 France",13949999
Paris 8th - Faubourg Saint-Honoré / Elysée - Private mansion,Single Family Homes,455,9,5,NA,"Paris, Ile-De-France, 75008 France",12899999
Rare apartment by Jacques Garcia,Apartments,358,NA,5,5,"Paris, Ile-De-France, 75016 France",12599999
Paris 16ème- AUTEUIL HIPPODROME,Apartments,265,NA,4,3,"Paris, Ile-De-France, 75016 France",12599999
Paris XVI - Superb house nested in a private greenery environment,Single Family Homes,495,10,4,5,"Paris, Ile-De-France, 75016 France",10499999
Hôtel des Invalides - Paris 7th,Apartments,317,9,2,2,"Paris, Ile-De-France, 75007 France",10499999
Elegant renovated family apartment close to Rue du Bac,Apartments,327,7,3,3,"Paris, Ile-De-France, 75007 France",9979999
Trocadéro - Reception apartment with Eiffel Tower view,Apartments,305,NA,4,9,"Paris, Ile-De-France, 75016 France",9000000
Apartment in Paris 16th - Pompe / Victor Hugo,Apartments,269,6,4,NA,"Paris, Ile-De-France, 75016 France",8899999
Apartment,Apartments,257,6,3,7,"Paris, Ile-De-France, 75007 France",8849999
Magnificent family and reception apartment close to the Avenue Montaigne,Apartments,346,NA,4,8,"Paris, Ile-De-France, 75008 France",8499999
Apartment in Paris 8th - Triangle d'Or,Apartments,356,10,5,5,"Paris, Ile-De-France, 75008 France",8499999
Prestigious apartment for sale golden triangle Paris 8,Apartments,192,5,3,3,"Paris, Ile-De-France, 75008 France",8495000
Apartment with garden - Bon Marché,Apartments,190,5,2,5,"Paris, Ile-De-France, 75006 France",7990000
Apartment,Apartments,220,NA,2,5,"Paris, Ile-De-France, 75004 France",7900000
Duplex,Duplex Homes,194,NA,5,8,"Paris, Ile-De-France, 75006 France",7900000
Palais de l'Elysée - Place Beauvau,Duplex Homes,205,5,3,7,"Paris, Ile-De-France, 75008 France",7850000
Prestigious property - Paris VII - Saint Germain des Prés,Apartments,188,5,3,6,"Paris, Ile-De-France, 75007 France",7592000
Mansion,Single Family Homes,293,8,4,9,"Paris, Ile-De-France, 75116 France",7399999
Elegant bright family apartment with balcony in Paris 16th.,Apartments,267,7,4,3,"Paris, Ile-De-France, 75016 France",7279999
Apartment in Paris 16th - Henri Martin,Apartments,243,6,3,3,"Paris, Ile-De-France, 75016 France",7099999
"Rare townhouse with garden, in the heart of the Gros Caillou district.",Townhouse,262,9,6,4,"Paris, Ile-De-France, 75007 France",6995000
luxury apartment for sale paris 7,Apartments,270,8,5,6,"Paris, Ile-De-France, 75007 France",6980000
Bright duplex apartment with balconies in Paris,Apartments,225,5,1,3,"Paris, Ile-De-France, 75004 France",6499999
Saint-Germain-des-Prés,Duplex Homes,171,NA,2,8,"Paris, Ile-De-France, 75006 France",6499999
Apartment,Apartments,178,4,2,6,"Paris, Ile-De-France, 75008 France",6499800
Paris Jardin du Trocadéro three-bedroom apartment exceptional Eiffel Tower view,Apartments,209,NA,3,7,"Paris, Ile-De-France, 75016 France",6490000
Paris 8th - An elegant 189 sq.m mansion - Commercial use,Single Family Homes,143,5,NA,NA,"Paris, Ile-De-France, 75008 France",6299999
Duplex,Duplex Homes,284,9,5,NA,"Paris, Ile-De-France, 75007 France",6299999
Apartment,Apartments,178,NA,3,3,"Paris, Ile-De-France, 75008 France",6249999
Apartment in Paris 16th - Trocadéro,Apartments,247,5,3,3,"Paris, Ile-De-France, 75016 France",6199999
Apartment with terraces for sale in Paris 16th - Passy,Apartments,260,NA,NA,7,"Paris, Ile-De-France, 75016 France",6199999
Quai Voltaire,Duplex Homes,208,NA,2,5,"Paris, Ile-De-France, 75007 France",5899999
Hoche / Parc Monceau,Single Family Homes,285,9,6,6,"Paris, Ile-De-France, 75008 France",5879999
Hôtel particulier Paris 17ème - Pereire,Single Family Homes,396,9,6,4,"Paris, Ile-De-France, 75017 France",5750000
Saint-Germain-des- Prés-/Rue Bonaparte,Apartments,165,5,2,5,"Paris, Ile-De-France, 75006 France",5750000
Paris 7th - Rue du Bac beautiful renovated house,Duplex Homes,156,NA,4,7,"Paris, Ile-De-France, 75007 France",5500000
Paris V - Family and reception apartment place du Panthéon,Apartments,252,7,5,5,"Paris, Ile-De-France, 75005 France",5489999
Avenue Montaigne,Apartments,163,6,3,4,"Paris, Ile-De-France, 75008 France",
Apartment,Apartments,306,NA,2,3,"Paris, Ile-De-France, 75003 France",4989999
Golden Triangle: a rare 3 bedroom turnkey apartment,Apartments,158,NA,3,3,"Paris, Ile-De-France, 75008 France",4950000
PARIS XVII - Villa des Ternes,Duplex Homes,210,NA,4,6,"Paris, Ile-De-France, 75017 France",4950000
Apartment in Paris 8th - Triangle d'or,Apartments,158,6,3,5,"Paris, Ile-De-France, 75008 France",4948000
Apartment in Paris 16th - Marceau / Pierre de Serbie,Apartments,284,NA,NA,NA,"Paris, Ile-De-France, 75116 France",4725000
Victor Hugo - Trocadéro,Duplex Homes,213,NA,4,3,"Paris, Ile-De-France, 75016 France",4700000
"Parc Monceau, magnificent reception apartment!",Apartments,246,7,3,6,"Paris, Ile-De-France, 75008 France",4639999
Apartment in Paris 16th - Victor Hugo,Apartments,277,8,5,4,"Paris, Ile-De-France, 75016 France",4580000
Prestige apartment : A contemporary apartment near Quai Voltaire,Apartments,203,NA,2,4,"Paris, Ile-De-France, 75007 France",4499999
Apartment in Paris 16th - Trocadéro,Apartments,145,5,3,4,"Paris, Ile-De-France, 75016 France",4499999
Apartment in Paris 16th - Trocadéro,Apartments,201,NA,2,2,"Paris, Ile-De-France, 75116 France",4479999
PARIS 8 - GOLDEN TRIANGLE,Apartments,200,NA,2,3,"Paris, Ile-De-France, 75008 France",4400000
"Appartement de Luxe - 16ème Arrondissement, Paris",Apartments,291,7,5,4,"Paris, Ile-De-France, 75016 France",4380000
Place Vendôme / Saint-Honoré - apartment with Parisian charm,Apartments,178,6,3,3,"Paris, Ile-De-France, 75001 France",4350000
Private mansion,Single Family Homes,326,7,4,6,"Paris, Ile-De-France, 75116 France",4350000
Family property with balconies close to the Jardin du Ranelagh,Apartments,234,6,3,3,"Paris, Ile-De-France, 75116 France",4299999
Trinité,Apartments,303,7,4,6,"Paris, Ile-De-France, 75009 France",4299999
Apartment in Paris 6th - Saint-Sulpice,Apartments,137,5,2,4,"Paris, Ile-De-France, 75006 France",4299999
Paris 1st - Rue de Rivoli / Tuileries,Apartments,306,NA,NA,6,"Paris, Ile-De-France, 75001 France",4199999
family and reception apartment close to the Jardins du Trocadéro.,Apartments,239,5,4,2,"Paris, Ile-De-France, 75116 France",4159999
"Avenue Montaigne. Pied-à-terre with terrace, two suites, a box.",Apartments,116,3,2,5,"Paris, Ile-De-France, 75008 France",3990000
Friedland Faubourg Saint-Honoré,Apartments,238,5,3,4,"Paris, Ile-De-France, 75008 France",3990000
House in Paris 14th - Alésia,Townhouse,376,10,5,NA,"Paris, Ile-De-France, 75014 France",3980000
Apartment,Apartments,228,NA,5,6,"Paris, Ile-De-France, 75017 France",3960000
Apartment in Paris 16th - Trocadéro,Apartments,249,5,4,6,"Paris, Ile-De-France, 75016 France",3949999
6-bedroom family apartment.,Apartments,284,9,6,7,"Paris, Ile-De-France, 75008 France",3899999
Duplex,Apartments,197,NA,2,3,"Paris, Ile-De-France, 75008 France",3890000
PARIS 8 - GOLDEN TRIANGLE,Apartments,200,NA,2,3,"Paris, Ile-De-France, 75008 France",3800000
Appartement de 302 m² aux beaux volumes - Paris 17ème - Etoile,Apartments,299,10,NA,NA,"Paris, Ile-De-France, 75017 France",3780000
Apartment in Paris 16th - La Muette,Apartments,224,6,3,5,"Paris, Ile-De-France, 75016 France",3750000
Saint-Germain-des-Prés Cherche-Midi,Townhouse,113,5,2,5,"Paris, Ile-De-France, 75006 France",3685000
Sole Agent - Nice three bedrooms apartment,Apartments,140,5,3,4,"Paris, Ile-De-France, 75007 France",3640000
Family home near Batignolles,Single Family Homes,365,NA,6,6,"Paris, Ile-De-France, 75017 France",3624999
Apartment in Paris 17th - Plaine Monceau,Apartments,275,9,7,8,"Paris, Ile-De-France, 75017 France",3599999
Paris VI - Stunning Reception Apartment,Apartments,143,4,2,2,"Paris, Ile-De-France, 75006 France",3520000
Apartment,Apartments,168,NA,3,6,"Paris, Ile-De-France, 75008 France",3500000
Apartment in Paris 5th - Notre Dame,Apartments,170,NA,NA,NA,"Paris, Ile-De-France, 75005 France",3500000
Apartment in Paris 16th - Passy,Apartments,179,6,2,5,"Paris, Ile-De-France, 75016 France",3500000
Apartment in Paris 16th - Foch,Apartments,205,5,3,5,"Paris, Ile-De-France, 75116 France",3394999
SUPERBE APPARTEMENT - PLEINE VUE TOUR EIFFEL,Apartments,114,5,2,4,"Paris, Ile-De-France, 75007 France",3390000
APPARTEMENT TRIANGLE D'OR - PARIS 8,Apartments,100,4,2,3,"Paris, Ile-De-France, 75008 France",3365000
Gros Caillou Université - Beautiful through apartment - 4 Bedrooms,Apartments,220,6,4,4,"Paris, Ile-De-France, 75007 France",3349999
