Property_name,Total_rooms,Accomodation_size,Property_size,Location,Rent_per_month
"Lovely flat, Paris St-Honoré",1 Room,2 adults,26 m²,"Paris, 1st Arrondissement","€1,950"
Best location in Paris and calm,3 Rooms,4 adults,73 m²,"Paris, 1st Arrondissement","€2,850"
Studio - 37m² - Bourse,1 Room,2 adults,37 m²,"Paris, 1st Arrondissement","€2,031"
Fully equipped flat for two or three people in the centre of Paris. Very functional accommodation.,2 Rooms,3 adults,40 m²,"Paris, 1st Arrondissement","€3,666"
Bright & cozy flat with a balcony in Montorgueil,1 Room,2 adults,50 m²,"Paris, 1st Arrondissement","€3,300"
Espace Intime Near Métro Odéon Paris,2 Rooms,2 adults,23 m²,"Paris, 1st Arrondissement","€1,380"
Rental Furnished Appartment - Studio - 31m² - Châtelet - Les Halles,1 Room,2 adults,31 m²,"Paris, 1st Arrondissement","€1,848"
Rental Furnished Apartment - 3 rooms - 48m² - Montorgueil- 75002 Paris,3 Rooms,4 adults,48 m²,"Paris, 1st Arrondissement","€3,259"
Charming studio in excellent location,1 Room,2 adults,32 m²,"Paris, 1st Arrondissement","€1,848"
Modern Comfort with Vintage Charm,2 Rooms,2 adults,50 m²,"Paris, 1st Arrondissement","€3,667"
Louvre - Palais Royal 2 Bedrooms,2 Rooms,4 adults,70 m²,"Paris, 1st Arrondissement","€4,800"
Apartment  LE LOUVRE,2 Rooms,2 adults,40 m²,"Paris, 1st Arrondissement","€1,990"
"Superb flat, ideally located",2 Rooms,4 adults,50 m²,"Paris, 1st Arrondissement","€2,960"
Saint Honoré Vendome - 1 Bedroom,2 Rooms,2 adults,72 m²,"Paris, 1st Arrondissement","€4,320"
"Beautiful studio ""Bijou"" closed to Musée",1 Room,2 adults,25 m²,"Paris, 1st Arrondissement","€2,215"
Louvre - Saint Honore 2 Bedrooms,2 Rooms,4 adults,52 m²,"Paris, 1st Arrondissement","€5,400"
Studio 30m² - Hôtel de Ville - Beaubourg,1 Room,2 adults,30 m²,"Paris, 1st Arrondissement","€2,301"
1 bedroom in the heart of the Latin Quarter and close to Notre Dame de Paris,2 Rooms,3 adults,60 m²,"Paris, 1st Arrondissement","€3,350"
"Rental Furnished flat - 3 rooms, Quartier Latin - Saint Germain de Prés",3 Rooms,4 adults,55 m²,"Paris, 1st Arrondissement","€3,086"
Charming Studio in Louvres/Tuileries & Palais Royal,1 Room,2 adults,18 m²,"Paris, 1st Arrondissement","€1,833"
Refurnished studio - Quartier Montorgueil,1 Room,2 adults,26 m²,"Paris, 1st Arrondissement","€2,444"
"Charming 55m² 6th Floor Apartment - Equipped, Spacious and Ideally Located",3 Rooms,4 adults,55 m²,"Paris, 1st Arrondissement","€4,222"
Modern Studio Retreat: Comfortable Stay for Two,1 Room,2 adults,18 m²,"Paris, 1st Arrondissement","€2,000"
"Bright, quiet top floor apartment",3 Rooms,5 adults,95 m²,"Paris, 1st Arrondissement","€4,500"
"Cozy 9m² Studio: Fully-Equipped, High-Speed Internet, and More",1 Room,1 adult,9 m²,"Paris, 1st Arrondissement","€1,589"
Beautiful studio in the heart of Paris - Rivoli / Notre-Dame,1 Room,2 adults,35 m²,"Paris, 1st Arrondissement","€2,278"
Rental Furnished Apartment - Studio - 18m² - Montorgueil,1 Room,2 adults,18 m²,"Paris, 1st Arrondissement","€1,946"
"Cozy 15m² Apartment with Mezzanine, Kitchen, and TV",1 Room,2 adults,15 m²,"Paris, 1st Arrondissement","€2,000"
Beautiful flat opposite the Tour St Jacques,2 Rooms,2 adults,56 m²,"Paris, 1st Arrondissement","€3,524"
Cozy apartment - Montorgueil Paris,1 Room,2 adults,28 m²,"Paris, 1st Arrondissement","€1,950"
Studio rue Montorgueil,1 Room,1 adult,19 m²,"Paris, 1st Arrondissement","€1,400"
"Large, comfortable flat",2 Rooms,2 adults,95 m²,"Paris, 1st Arrondissement","€5,413"
Modern flat in quiet street,1 Room,2 adults,34 m²,"Paris, 1st Arrondissement","€2,910"
In the heart of Paris in a quiet courtyard,2 Rooms,2 adults,61 m²,"Paris, 1st Arrondissement","€2,500"
"Luxury 3 bedrooms in StHonore´ Square next to Vendome, Louvre and Opera",3 Rooms,6 adults,120 m²,"Paris, 1st Arrondissement","€18,000"
Bright apartment near Louvre & Palais Royal,2 Rooms,2 adults,18 m²,"Paris, 1st Arrondissement","€2,400"
Charming apartment Louvre-Saint Germain Des Près,1 Room,3 adults,80 m²,"Paris, 1st Arrondissement","€4,000"
Charming Apartment for Rent in the Heart of Paris - 58m²,2 Rooms,4 adults,58 m²,"Paris, 1st Arrondissement","€6,000"
"Quiet and bright loft with nice neighbours, Paris",2 Rooms,2 adults,40 m²,"Paris, 1st Arrondissement","€4,092"
"Great, rental flat in Saint Germain des Prés, next to Quai des Augustins - Paris",3 Rooms,4 adults,55 m²,"Paris, 1st Arrondissement","€6,600"
"Charming, comfortable, St Germain des Prés, with AC",2 Rooms,4 adults,105 m²,"Paris, 1st Arrondissement","€14,800"
3 pieces centre de Paris 1ere,2 Rooms,4 adults,65 m²,"Paris, 1st Arrondissement","€15,000"
"Lovely flat, Paris St-Honoré",1 Room,2 adults,26 m²,"Paris, 2nd Arrondissement","€1,950"
Studio - 37m² - Bourse,1 Room,2 adults,37 m²,"Paris, 2nd Arrondissement","€2,031"
Fully equipped flat for two or three people in the centre of Paris. Very functional accommodation.,2 Rooms,3 adults,40 m²,"Paris, 2nd Arrondissement","€3,666"
Bright & cozy flat with a balcony in Montorgueil,1 Room,2 adults,50 m²,"Paris, 2nd Arrondissement","€3,300"
Rental Furnished flat with two bedrooms - 3 rooms - 92m2,3 Rooms,4 adults,92 m²,"Paris, 2nd Arrondissement","€3,580"
Elegant Parisian Studio Just Steps from Rue Montorgueil: Comfort and Sophistication in the Heart of the City of Lights,1 Room,2 adults,23 m²,"Paris, 2nd Arrondissement","€2,167"
Rental Furnished Apartment - 3 rooms - 48m² - Montorgueil- 75002 Paris,3 Rooms,4 adults,48 m²,"Paris, 2nd Arrondissement","€3,259"
Charming studio in excellent location,1 Room,2 adults,32 m²,"Paris, 2nd Arrondissement","€1,848"
Louvre - Palais Royal 2 Bedrooms,2 Rooms,4 adults,70 m²,"Paris, 2nd Arrondissement","€4,800"
Apartment  LE LOUVRE,2 Rooms,2 adults,40 m²,"Paris, 2nd Arrondissement","€1,990"
Saint Honoré Vendome - 1 Bedroom,2 Rooms,2 adults,72 m²,"Paris, 2nd Arrondissement","€4,320"
Louvre - Saint Honore 2 Bedrooms,2 Rooms,4 adults,52 m²,"Paris, 2nd Arrondissement","€5,400"
Charming Studio in Louvres/Tuileries & Palais Royal,1 Room,2 adults,18 m²,"Paris, 2nd Arrondissement","€1,833"
Refurnished studio - Quartier Montorgueil,1 Room,2 adults,26 m²,"Paris, 2nd Arrondissement","€2,444"
Rental Furnished Appartment - 2 Rooms - 37m² - Grands Boulevards - Lafayette,2 Rooms,2 adults,37 m²,"Paris, 2nd Arrondissement","€2,091"
"Charming 55m² 6th Floor Apartment - Equipped, Spacious and Ideally Located",3 Rooms,4 adults,55 m²,"Paris, 2nd Arrondissement","€4,222"
Tastefully decorated flat in the heart of the 2nd arrondissement,2 Rooms,4 adults,36 m²,"Paris, 2nd Arrondissement","€2,809"
