"Address","Price","Area","Floor","Property_Type","Bed","Rooms","Num_people","Link"
"Rue Cassette, 75006, Paris",25920,160,8,"Apartment",2,3,4,"https://wunderflats.com/en/furnished-apartment/saint-germain-des-pres-penthouse-view-w-ac/63905f194e53a7ed66fe50eb?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Avenue Raspail, 94250, Gentilly",1260,20,0,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/g/nice-cute-studio-in-gentilly-less-than-25-minutes-from-the-center-of-the-capital/va-MPW9GNTNOPDPh0btby?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue Saint-Just, 94200, Ivry-sur-Seine",2290,70,1,"Apartment",NA,3,4,"https://wunderflats.com/en/furnished-apartment/bright-modern-loft-in-ivry-sur-seine/669674cde33dd47b071f9db2?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue du Landy, 93210, Saint-Denis",2700,128,3,"Apartment",3,4,4,"https://wunderflats.com/en/furnished-apartment/awesome-loft-2-rooms-128-qm-stade-de-france/65fc1768cd07a9b692e7176d?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Avenue de la République, 93300, Aubervilliers",850,18,6,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/cosy-comfortable-studio-with-balcony/637f8e491384b688b3ad38f9?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue Léon Jouhaux, 93300, Aubervilliers",1490,63,3,"Apartment",2,3,4,"https://wunderflats.com/en/furnished-apartment/appartement-t3-centre-aubervilliers/668bf69f4971545c27b4cbb1?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue Pelleport, 75020, Paris",1340,37,0,"Apartment",2,2,3,"https://wunderflats.com/en/furnished-apartment/g/awesome-partment-in-popular-area-paris/lWSdYFgrwTLConv2um0q-?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue des Dames, 75017, Paris",1556,11,1,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/charming-studio-near-parc-monceau/6495a917d98903255f94f0c0?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Quai de Jemmapes, 75010, Paris",2080,58,4,"Apartment",2,2,2,"https://wunderflats.com/en/furnished-apartment/beautiful-parisian-loft-front-of-the-canal/65c121b8580ebed884b44e24?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue Caulaincourt, 75018, Paris",1300,18,3,"Apartment",NA,1,2,"https://wunderflats.com/en/furnished-apartment/charming-appartment-in-montmartre/662b78f00bce17a63d9c67ce?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue Ravignan, 75018, Paris",1300,18,6,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/charming-studio-in-the-heart-of-montmartre/6628be1cb989ce22d2f7abff?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Boulevard Pereire, 75017, Paris",4333,70,6,"Apartment",2,3,4,"https://wunderflats.com/en/furnished-apartment/a-stunning-bright-and-warm-apartment-of-70m2-in-the-17th-district/64463278fafc1efbcd6872ea?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue du Bailly, 93210, Saint-Denis",811,11,7,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-a-beautiful-room-in-saint-denis/65f446a08c44d3966ef8904b?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue Jean Dollfus, 75018, Paris",1222,17,0,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/studio-renovate-and-luminous-guy-moquet-st-ouen-bichat/63c9484381e142c250e6999d?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue du Sentier, 75002, Paris",2690,65,1,"Apartment",2,2,4,"https://wunderflats.com/en/furnished-apartment/lovely-loft-style-duplex-apartment-in-the-heart-of-paris/64ca3fc0db02b3650691c17d?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue de Paris, 92210, Charenton-le-Pont",1220,35,8,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/beautiful-studio-boulogne-billancourt/669e4575114749b490278a0c?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue d'Alsace, 92300, Levallois-Perret",3333,51,8,"Apartment",4,3,6,"https://wunderflats.com/en/furnished-apartment/stylish-2-bed-apartment-with-views/6669aa5205cc1b0eb069a434?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue Dauphine, 75006, Paris",1364,10,4,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/studio-10m-latin-quarter-saint-germain/63c5268abcfe4121e28bfc5c?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue Danielle Casanova, 75002, Paris",3222,43,2,"Apartment",2,3,2,"https://wunderflats.com/en/furnished-apartment/lovely-and-well-designed-2-bedrooms-flat/651bdc59b455c23e9a82e50d?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue Louise-Émilie de la Tour d'Auvergne, 75009, Paris",2702,34,2,"Apartment",2,2,4,"https://wunderflats.com/en/furnished-apartment/2-room-flat-opera/655ccef4bd980b15082f8300?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue de Grenelle, 75007, Paris",2250,42,3,"Apartment",2,2,3,"https://wunderflats.com/en/furnished-apartment/rue-de-grenelle-lovely-apartment-near-eiffel-tower/65f0580b4bc795483003200e?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Impasse de la Défense, 75018, Paris",1311,15,1,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/studio-of-15m2-in-the-18th-district-close-to-transport/63d7c26fefb524b6a8a15d0a?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue du Faubourg Saint-Denis, 75010, Paris",1444,18,3,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/charming-studio-gare-du-nord/63cfbafb506c831c67a33fe8?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
