Address,Street,Price,Area,Floor,Guest,Bed,Bath,Link
"Invalides, Paris",Rue du Gros Caillou,1700,32,2,2,Jr. 1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-7th-invalides-319
"Pigalle, Paris",Rue Victor Massé,1890,43,1,,Studio,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-pigalle-494
"Le Marais - République, Paris",Rue Réaumur,1970,32,3,,Studio,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-3rd-le-marais-republique-553
"Trocadéro, Paris",Rue Mesnil,1930,44,,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-trocadero-583
"Auteuil, Paris",Rue George Sand,1700,33,3,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-auteuil-912
"La Motte-Picquet Grenelle, Paris",Rue de l'Église,1670,37,7,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-15th-la-motte-picquet-grenelle-652
"Auteuil, Paris",Boulevard Murat,1540,48,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-auteuil-600
"Cadet, Paris",Rue La Fayette,1720,50,5,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-cadet-733
"Anatole-France, Paris",Rue Aristide Briand,1900,38,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/levallois-perret-anatole-france-824
"Pereire, Paris",Rue de Tocqueville,2420,45,4,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-pereire-710
"Lamarck - Caulaincourt, Paris",Rue Lamarck,2010,50,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-lamarck-caulaincourt-921
"Canal Saint-Martin, Paris",Rue des Vinaigriers,2060,42,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-10th-canal-saint-martin-805
"Ternes, Paris",Place Tristan Bernard,2610,61,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-629
"École Militaire, Paris",Rue de l'Exposition,1900,43,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-7th-ecole-militaire-370
"Trocadéro, Paris",Villa Eugène Manuel,2060,65,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-trocadero-158
"Champ de Mars, Paris",Avenue de Suffren,1830,40,4,,Jr. 1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-7th-champ-de-mars-877
"Buttes-Chaumont, Paris",Avenue Simon Bolivar,1770,47,1,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-19th-buttes-chaumont-220
"Buttes-Chaumont, Paris",Avenue Simon Bolivar,2720,59,3,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-19th-buttes-chaumont-357
"Notre Dame des Champs, Paris",Rue Delambre,2300,30,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-6th-notre-dame-des-champs-918
"Notre Dame des Champs, Paris",Rue de Rennes,2320,37,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-6th-notre-dame-des-champs-875
"Notre Dame des Champs, Paris",Rue de Rennes,2320,37,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-6th-notre-dame-des-champs-876
"Pont de Neuilly, Paris",Boulevard du Château,2390,67,7,4,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/neuilly-sur-seine-pont-de-neuilly-728
"Canal Saint-Martin, Paris",Rue de la Grange aux Belles,2620,72,1,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-10th-canal-saint-martin-739
"La Motte-Picquet Grenelle, Paris",Rue de Lourmel,1740,49,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-15th-la-motte-picquet-grenelle-806
"Commerce, Paris",Rue des Frères Morane,2160,51,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-15th-commerce-785
"Trocadéro, Paris",Rue Louis David,2460,66,1,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-trocadero-881
"Cadet, Paris",Rue Condorcet,3110,70,1,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-cadet-925
"Passy, Paris",Rue de l'Assomption,1940,35,7,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-passy-899
"Lamarck - Caulaincourt, Paris",Rue Vauvenargues,1860,70,11,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-lamarck-caulaincourt-712
"Pereire, Paris",Avenue de Villiers,2150,45,5,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-pereire-719
"Pont de Neuilly, Paris",Rue de Longpont,2660,69,4,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/neuilly-sur-seine-pont-de-neuilly-765
"La Motte-Picquet Grenelle, Paris",Rue de la Procession,2430,71,4,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-15th-la-motte-picquet-grenelle-825
"Ternes, Paris",Rue du Dobropol,3020,97,4,,3 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-299
"Abbesses - Montmartre, Paris",Rue de Clignancourt,2870,93,2,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-abbesses-montmartre-430
"Abbesses - Montmartre, Paris",Rue du Mont-Cenis,2130,63,4,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-abbesses-montmartre-676
"Lamarck - Caulaincourt, Paris",Rue Caulaincourt,2270,71,1,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-lamarck-caulaincourt-277
"Bastille, Paris",Rue du Faubourg Saint-Antoine,2600,55,2,4,2 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-bastille-783
"Pont de Neuilly, Paris",Rue de Chézy,2810,49,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/neuilly-sur-seine-pont-de-neuilly-914
"Passy, Paris",Rue Bois le Vent,2550,43,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-passy-916
