Address,Postal_code,Arrondissement,Area,Price,Bedroom,Occupants,Floor,Energy,GHG,Elevator,Available_date,Description
Place de Clichy - Paris,75009,9,109,3800,3,6,2,220,47,0,07/18/2024,"This charming and very well situated 109 square meters, 3 Bedrooms, apartment is located on Place Adolphe Max in the 9th arrondissement of Paris, 200m from the Moulin Rouge, on the 2nd French floor of a 19th century building and it sleeps 6 people. On the street side, this apartment is not overlooked, and overlooks a pretty square. This apartment is equipped with : washer, dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, decoratives fireplaces."
Auteuil - Paris,75016,16,63,2500,2,4,1,413,13,0,07/18/2024,"This comfortable and spacious 63 square meters , 2 Bedrooms, apartment is located on Villa Michel-Ange in the 16th arrondissement, on the 1 st French floor of a 20th century building and it sleeps 4 people. This apartment is equipped with : washer, dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi."
Gare de Lyon - Paris,75012,12,28,1351,1,2,4,650,21,0,07/18/2024,"This beautiful and cozy 28 square meters, studio, is located on rue de Charenton in the 12th arrondissement of Paris, on the 4th french floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, decorative fireplace."
Champs de Mars - Tour Eiffel - Paris,75007,7,50,3300,2,4,1,NA,NA,1,07/18/2024,"This bright and well located 50 square meters , 2 Bedrooms, apartment is located on rue de l Exposition in the 7th arrondissement, on the 1 st French floor building and it sleeps 4 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi."
Levallois-Perret,92300,92,67,2400,2,4,1,NA,NA,0,07/18/2024,"This beautiful and spacious 67 square meters , 2 Bedrooms, apartment is located on rue Louise Michel in Levallois-Perret, on the 1 st French floor building and it sleeps 4 people. This apartment is equipped with : washer, dishwasher, TV, cable, unlimited high speed internet access with the wifi."
Parc Monceau - Paris,75008,8,25,1400,1,2,0,368,12,NA,now,"This , Studio, apartment is located on rue Treilhard in the 8th arrondissement, on the ground floor building and it sleeps 2 people. This apartment is equipped with : cable, TV, unlimited high speed internet access with the wifi. There is a laundry behind the rue Treilhard, at the 17 rue de Lisbonne, 2 minutes by feet."
Miromesnil - Paris,75008,8,30,2400,2,2,0,244,7,NA,07/18/2024,"This charming and tastefully decorated 30 square meters , 2 Bedrooms, apartment is located on rue d Artois in the 8th arrondissement, on the ground floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer, dryer, cable, TV, unlimited high speed internet access with the wifi."
Hôtel de Ville - Paris,75004,4,23,1500,1,2,6,270,8,0,07/18/2024,"This very well situated and comfortable 23 square meters , Studio, apartment is located on rue de Rivoli in the 4th arrondissement, on the 6 th French floor of a 19th century walk up building and it sleeps 2 people. This apartment is equipped with : Combo Washer-Dryer, Air Contionning , TV, cable, unlimited high speed internet access with the wifi."
Auteuil - Paris,75016,16,39,1600,1,2,3,NA,NA,1,07/18/2024,"This charming and well located 39 square meters , Studio, apartment is located on avenue de Versailles in the 16th arrondissement, on the 3 rd French floor building and it sleeps 2 people. This apartment is equipped with : washer, unlimited high speed internet access with the wifi, balcony."
Le Marais - Paris,75003,3,46,2000,1,2,1,222,7,0,07/18/2024,"This charming and cozy 46 square meters , 1 Bedroom, apartment is located on rue Volta in the 3rd arrondissement, on the 1 st French floor of a 15th century walk up building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, TV, unlimited high speed internet access with the wifi, decorative fireplace."
Oberkampf - Paris,75011,11,45,1849,1,2,6,199,38,1,now,"This charming and cozy 45 square meters, 1 Bedroom, apartment is located on rue Guillaume Bertrand in the 11th arrondissement of Paris, on the 6th French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, 2 balconies."
Saint-Germain-des-Prés - Paris,75006,6,25,1400,1,2,1,467,15,0,07/18/2024,"This atypical and very well situated 25 square meters, studio, is located on rue de Seine in the 6th arrondissement of Paris, on the 1st French floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : combo washer-dryer, cable, TV, unlimited high speed internet access with the wifi."
Porte Maillot - Paris,75016,16,74,4000,2,4,4,201,17,1,07/18/2024,"This splendid and very well situated 74 square meters, 2 Bedrooms, apartment is located on rue Pergolese in the 16th arrondissement of Paris, on the 4th French floor of a 19th century building and it sleeps 4 people. This apartment is equipped with : combo washer-dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, balcony, decorative fireplace."
Levallois-Perret,92300,92,80,3249,2,4,3,310,68,0,07/18/2024,"This beautiful and spacious 79 square meters, 2 Bedrooms, apartment is located on rue Henri Barbusse in Levallois-Perret, on the 3rd French floor building and it sleeps 4 people. This apartment is equipped with : washer, dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, decorative fireplace."
République - Paris,75003,3,43,2100,1,2,4,176,5,0,08/01/2024,"This charming and very well situated 43 square meters, alcove studio, is located on rue Saint-Martin in the 3rd arrondissement of Paris, on the 4 th French floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, unlimited high speed internet access with the wifi."
Champs-Élysées - Paris,75008,8,93,4000,1,2,4,270,59,1,08/01/2024,"This very well situated and spacious 93 square meters , 1 Bedroom and an office, apartment is located on Rue du Faubourg Saint-Honoré in the 8th arrondissement, on the 4 th French floor of a 19th century building and it sleeps 4 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, decorative fireplace, air purifier."
Jules Joffrin - Paris,75018,18,39,1700,1,2,1,328,10,1,07/18/2024,"This charming and bright 39 square meters , 1 Bedroom, apartment is located on rue Eugene Sue in the 18th arrondissement, on the 1 st French floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : Combo Washer-Dryer, dishwasher, unlimited high speed internet access with the wifi, TV."
Porte Maillot - Neuilly-sur-Seine,92200,92,17,1100,1,2,7,NA,NA,0,07/18/2024,"This cozy and sunny 17 square meters studio, apartment is located on rue Pauline Borghèse in Neuilly sur Seine, on the 7 th French floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi."
Saint-Germain-des-Prés - Paris,75006,6,30,1651,1,2,0,260,8,NA,09/06/2024,"This very well situated and comfortable 30 square meters , Studio, apartment is located on rue Seguier in the 6th arrondissement, on the ground floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : Combo Washer-Dryer, unlimited high speed internet access with the wifi."
Le Marais - Paris,75003,3,78,3700,2,4,3,140,4,1,07/18/2024,"This bright and well located 78 square meters , 2 Bedrooms, apartment is located on rue des Filles Du Calvaire in the 3rd arrondissement, on the 3 rd French floor building and it sleeps 4 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi."
Voltaire - Paris,75011,11,32,1673,1,2,3,191,6,0,now,"This charming and comfortable 32 square meters , 1 Bedroom, apartment is located on rue Keller in the 11th arrondissement, on the 3 rd French floor of a 19th century walk up building and it sleeps 2 people. This apartment is equipped with : Combo Washer-Dryer, cable, TV, unlimited high speed internet access with the wifi."
Passy - Paris,75016,16,55,2900,2,4,1,NA,NA,1,now,"This tastefully decorated and comfortable 55 square meters , 2 Bedrooms, apartment is located on rue Raynouard in the 16th arrondissement, on the 1 st French floor of a 19th century building and it sleeps 4 people. This apartment is equipped with : Combo Washer-Dryer, dishwasher, cable,TV, unlimited high speed internet access with the wifi, decorative fireplace."
Nation - Paris,75020,20,30,1451,1,2,4,NA,NA,0,07/18/2024,"This tastefully decorated and comfortable 30 square meters , through and bright, 1 Bedroom, apartment is located on rue des Grands Champs in the 20th arrondissement, on the 4 th French floor of a 19th century walk up building and it sleeps 2 people. This apartment is equipped with : washer, cable, TV, unlimited high speed internet access with the The apartment is very bright, as it faces across, and very quiet."
Neuilly sur Seine - Neuilly-sur-Seine,92200,92,34,1700,1,2,5,475,15,1,now,"This charming and very well situated 34 square meters, 1 Bedroom, apartment is located on avenue Charles de Gaulle in Neuilly-sur-Seine, on the 5th French floor, and it sleeps 2 people. This apartment is equipped with : combo washer-dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, stereo, decorative fireplace. The metro is in front of the building, and is 3 stations from La Défense, and 4 stations from the Champs-Elysées."
Saint-Germain-des-Prés - Paris,75006,6,38,1900,1,2,0,214,6,NA,now,"This charming and well located 38 square meters : 23sqm Carrez law, 53sqm on the ground, 1 Bedroom, apartment is located on cour de Rohan in the 6th arrondissement, on the ground floor of a 18th century building and it sleeps 2 people. This apartment is equipped with : washer, cable, TV, unlimited high speed internet access with the wifi."
Louvre - Paris,75001,1,29,1700,1,2,2,NA,NA,1,07/18/2024,"This charming and very well situated 29 square meters studio is located on Rue Saint-Honoré in the 1st arrondissement of Paris, on the 2nd French floor of a 18th century building and it sleeps 2 people. This apartment is equipped with : TV, unlimited high speed internet access with the wifi."
Exelmans - Paris,75016,16,75,2651,2,4,1,231,38,1,07/18/2024,"This comfortable and spacious 75 square meters , 2 Bedrooms, apartment is located on boulevard Murat in the 16th arrondissement, on the 1 st French floor of a 20th century building and it sleeps 4 people. This apartment is equipped with : dishwasher, cable, 2 smart TV, unlimited high speed internet access with the wifi, Combo Washer-Dryer."
Montmartre - Sacré Coeur - Paris,75018,18,39,1851,1,2,4,167,35,1,now,"This bright and well located 39 square meters , 1 Bedroom, apartment is located on rue Custine in the 18th arrondissement, on the 4 th French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : Combo Washer-Dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, balcony."
Bastille - Paris,75011,11,33,1526,1,2,1,NA,NA,0,07/18/2024,"This 33 square meters , 1 Bedroom, apartment is located on rue de Lappe in the 11th arrondissement, on the 1 st French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi."
Arc de Triomphe - Paris,75008,8,14,1190,1,1,8,254,22,1,08/13/2024,"This charming and comfortable 14 square meters , Studio, apartment is located on rue Beaujon in the 8th arrondissement, on the 8 th French floor of a 19th century building and it sleeps 1 people. This apartment is equipped with : washer, cable, TV, unlimited high speed internet access with the wifi, A/C."
Le Marais - Paris,75004,4,33,1680,1,2,3,NA,NA,0,now,"This bright and well located 33 square meters , 1 Bedroom, apartment is located on rue Quincampoix in the 4th arrondissement, on the 3 rd French floor of a 18th century building and it sleeps 2 people. This apartment is equipped with : washer, TV, unlimited high speed internet access with the wifi."
Place de Clichy - Paris,75017,17,27,1296,1,2,3,389,13,0,07/18/2024,"This charming and tastefully decorated 27 square meters , Studio, apartment is located on rue Saint Jean in the 17th arrondissement, on the 3 rd French floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer, dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi."
Arc de Triomphe - Paris,75017,17,45,2000,1,2,6,274,8,1,07/20/2024,"This comfortable and luminous 45 square meters , 1 Bedroom, apartment is located on avenue des Ternes in the 17th arrondissement, on the 6 th French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : cable, TV, unlimited high speed internet access with the wifi, balcony, decorative fireplace."
