Proprety_name,Year_Built,Property_Type,Tax (dollars/year),Total_room,Bedroom,Bathroom,Price (euros),Prop_size (m^2)
Montmartre - SacrÃ©-coeur - Perfect pied-Ã -terre with amazing views,1875.0,apartment,612.0,3.0,1.0,1.0,589999.0,39
Renovated flat with open view - Paris 4th - Marais,1860.0,apartment,465.0,2.0,1.0,1.0,585000.0,41
Saint-Germain-des-PrÃ©s,1800.0,apartment,2601.0,5.0,1.0,2.0,560000.0,28
Saint-Germain-des-PrÃ©s,1800.0,apartment,641.0,5.0,1.0,2.0,560000.0,28
"PARIS 17, MONCEAU PARK",1900.0,apartment,2601.0,5.0,1.0,2.0,549999.0,43
House,1880.0,Single Family Homes,635.0,5.0,1.0,2.0,548999.0,40
Perfect Pied-Ã -terre in front of the Jardins du Luxembourg,1964.0,apartment,1274.0,5.0,1.0,2.0,530000.0,40
Apartment,1800.0,apartment,2601.0,1.0,3.0,1.0,329000.0,21
Paris XVI - Art deco Penthouse opening on terraces,1930.0,apartment,7089.0,10.0,4.0,4.0,15099999.0,433
Rare apartment by Jacques Garcia,1929.0,apartment,2601.0,5.0,5.0,5.0,12599999.0,358
Paris 16Ã¨me- AUTEUIL HIPPODROME,1956.0,apartment,7672.0,5.0,4.0,3.0,12599999.0,265
HÃ´tel des Invalides - Paris 7th,1880.0,apartment,4314.0,9.0,2.0,2.0,10499999.0,317
Elegant renovated family apartment close to Rue du Bac,1892.0,apartment,5435.0,7.0,3.0,3.0,9979999.0,327
Apartment in Paris 16th - Pompe / Victor Hugo,1900.0,apartment,2601.0,6.0,4.0,2.0,8899999.0,269
Magnificent family and reception apartment close to the Avenue Montaigne,1880.0,apartment,2601.0,5.0,4.0,8.0,8499999.0,346
Apartment in Paris 8th - Triangle d'Or,1930.0,apartment,2601.0,10.0,5.0,5.0,8499999.0,356
Apartment,1900.0,apartment,6122.0,5.0,2.0,5.0,7900000.0,220
Duplex,1929.0,Duplex Homes,2601.0,5.0,5.0,8.0,7900000.0,194
Palais de l'ElysÃ©e - Place Beauvau,1825.0,Duplex Homes,4468.0,5.0,3.0,7.0,7850000.0,205
Prestigious property - Paris VII - Saint Germain des PrÃ©s,1780.0,apartment,5292.0,5.0,3.0,6.0,7592000.0,188
Mansion,1930.0,Single Family Homes,4278.0,8.0,4.0,9.0,7399999.0,293
Elegant bright family apartment with balcony in Paris 16th.,1890.0,apartment,6747.0,7.0,4.0,3.0,7279999.0,267
Apartment in Paris 16th - Henri Martin,1900.0,apartment,2601.0,6.0,3.0,3.0,7099999.0,243
"Rare townhouse with garden, in the heart of the Gros Caillou district.",1900.0,Townhouse,2601.0,9.0,6.0,4.0,6995000.0,262
luxury apartment for sale paris 7,1880.0,apartment,5217.0,8.0,5.0,6.0,6980000.0,270
Saint-Germain-des-PrÃ©s,1993.0,Duplex Homes,2601.0,5.0,2.0,8.0,6499999.0,171
Duplex,1896.0,Duplex Homes,2601.0,9.0,5.0,2.0,6299999.0,284
Apartment,1824.0,apartment,2688.0,5.0,3.0,3.0,6249999.0,178
Apartment in Paris 16th - TrocadÃ©ro,1888.0,apartment,2601.0,5.0,3.0,3.0,6199999.0,247
Apartment with terraces for sale in Paris 16th - Passy,2004.0,apartment,2601.0,5.0,3.0,7.0,6199999.0,260
Quai Voltaire,1768.0,Duplex Homes,3997.0,5.0,2.0,5.0,5899999.0,208
Hoche / Parc Monceau,1913.0,Single Family Homes,2601.0,9.0,6.0,6.0,5879999.0,285
HÃ´tel particulier Paris 17Ã¨me - Pereire,1890.0,Single Family Homes,2601.0,9.0,6.0,4.0,5750000.0,396
Saint-Germain-des- PrÃ©s-/Rue Bonaparte,1880.0,apartment,2601.0,5.0,2.0,5.0,5750000.0,165
Paris V - Family and reception apartment place du PanthÃ©on,1927.0,apartment,5514.0,7.0,5.0,5.0,5489999.0,252
Avenue Montaigne,1880.0,apartment,4728.0,6.0,3.0,4.0,2582908.0,163
Golden Triangle: a rare 3 bedroom turnkey apartment,1880.0,apartment,2601.0,5.0,3.0,3.0,4950000.0,158
Apartment in Paris 8th - Triangle d'or,1880.0,apartment,2601.0,6.0,3.0,5.0,4948000.0,158
Apartment in Paris 16th - Marceau / Pierre de Serbie,1893.0,apartment,2601.0,5.0,3.0,2.0,4725000.0,284
Victor Hugo - TrocadÃ©ro,2006.0,Duplex Homes,2601.0,5.0,4.0,3.0,4700000.0,213
"Parc Monceau, magnificent reception apartment!",1907.0,apartment,2601.0,7.0,3.0,6.0,4639999.0,246
Apartment in Paris 16th - Victor Hugo,1900.0,apartment,2601.0,8.0,5.0,4.0,4580000.0,277
Apartment in Paris 16th - TrocadÃ©ro,1900.0,apartment,3483.0,5.0,3.0,4.0,4499999.0,145
PARIS 8 - GOLDEN TRIANGLE,1850.0,apartment,2601.0,5.0,2.0,3.0,4400000.0,200
"Appartement de Luxe - 16Ã¨me Arrondissement, Paris",1925.0,apartment,3970.0,7.0,5.0,4.0,4380000.0,291
Family property with balconies close to the Jardin du Ranelagh,1971.0,apartment,1216.0,6.0,3.0,3.0,4299999.0,234
Apartment in Paris 6th - Saint-Sulpice,1900.0,apartment,2174.0,5.0,2.0,4.0,4299999.0,137
Paris 1st - Rue de Rivoli / Tuileries,1860.0,apartment,5761.0,5.0,3.0,6.0,4199999.0,306
"Avenue Montaigne. Pied-Ã -terre with terrace, two suites, a box.",1940.0,apartment,6688.0,3.0,2.0,5.0,3990000.0,116
Friedland Faubourg Saint-HonorÃ©,1880.0,apartment,2601.0,5.0,3.0,4.0,3990000.0,238
House in Paris 14th - AlÃ©sia,2007.0,Townhouse,4202.0,10.0,5.0,2.0,3980000.0,376
Apartment in Paris 16th - TrocadÃ©ro,1888.0,apartment,2601.0,5.0,4.0,6.0,3949999.0,249
6-bedroom family apartment.,1924.0,apartment,4562.0,9.0,6.0,7.0,3899999.0,284
Duplex,1880.0,apartment,6086.0,5.0,2.0,3.0,3890000.0,197
PARIS 8 - GOLDEN TRIANGLE,1850.0,apartment,2601.0,5.0,2.0,3.0,3800000.0,200
Appartement de 302 mÂ² aux beaux volumes - Paris 17Ã¨me - Etoile,1913.0,apartment,3152.0,10.0,3.0,2.0,3780000.0,299
Apartment in Paris 16th - La Muette,1910.0,apartment,2601.0,6.0,3.0,5.0,3750000.0,224
Sole Agent - Nice three bedrooms apartment,1849.0,apartment,2925.0,5.0,3.0,4.0,3640000.0,140
Family home near Batignolles,1886.0,Single Family Homes,5855.0,5.0,6.0,6.0,3624999.0,365
Apartment in Paris 17th - Plaine Monceau,1900.0,apartment,7717.0,9.0,7.0,8.0,3599999.0,275
Paris VI - Stunning Reception Apartment,1890.0,apartment,3496.0,4.0,2.0,2.0,3520000.0,143
Apartment in Paris 16th - Passy,1931.0,apartment,5109.0,6.0,2.0,5.0,3500000.0,179
SUPERBE APPARTEMENT - PLEINE VUE TOUR EIFFEL,1910.0,apartment,2601.0,5.0,2.0,4.0,3390000.0,114
APPARTEMENT TRIANGLE D'OR - PARIS 8,1963.0,apartment,2601.0,4.0,2.0,3.0,3365000.0,100
Gros Caillou UniversitÃ© - Beautiful through apartment - 4 Bedrooms,1930.0,apartment,737.0,6.0,4.0,4.0,3349999.0,220
PARIS 8 - GOLDEN TRIANGLE / MONTAIGNE / CHAMPS-Ã‰LYSÃ‰ES,1850.0,apartment,3053.0,6.0,3.0,3.0,3300000.0,190
Pompe Victor Hugo superbe appartement en parfait Ã©tat,1914.0,apartment,2601.0,5.0,4.0,6.0,3290000.0,257
Family and reception flat - Paris 16th - Foch-Victor Hugo,1895.0,apartment,2601.0,5.0,6.0,4.0,3189999.0,287
Private mansion in the heart of Saint-Germain-des-PrÃ©s'district,1850.0,Townhouse,2601.0,5.0,3.0,4.0,3119999.0,176
PARIS XVI - Magnificent reception apartment with all the charm of the old,1891.0,apartment,4764.0,5.0,3.0,4.0,3099999.0,229
Paris 16th - Charming reception apartment just steps away from Avenue Foch.,1896.0,apartment,4679.0,6.0,3.0,4.0,3000000.0,217
Apartment in Paris 16th - Foch,1896.0,apartment,2601.0,8.0,3.0,4.0,3000000.0,218
Apartment in Paris 7th - Champ de Mars,1894.0,apartment,2601.0,5.0,4.0,2.0,2990000.0,124
PARIS 8 - GOLDEN TRIANGLE / MONTAIGNE / PLACE FRANÃ‡OIS 1ST,1880.0,apartment,2601.0,5.0,3.0,4.0,2970000.0,154
Appartement vue Tour Eiffel - Paris 16Ã¨me - TrocadÃ©ro,1909.0,apartment,2601.0,8.0,3.0,4.0,2950000.0,216
Duplex en dernier Ã©tage de 211mÂ² refait par architecte,1912.0,apartment,2690.0,4.0,3.0,3.0,2950000.0,208
Paris XVI- Ranelagh - Muette,1897.0,apartment,5380.0,6.0,3.0,4.0,2889999.0,182
148 sq.m. renovated family flat - Paris 3rd - Square du Temple,1890.0,apartment,1739.0,5.0,3.0,4.0,2790000.0,148
Rue des Saints-PÃ¨res - Elegant reception appartment,1870.0,apartment,2601.0,5.0,2.0,3.0,2700000.0,126
