Property_name,Price (dollars),Year_Built,Property_Type,Area (sq ft),Tax (dollars/year),Total_room,Bedroom,Bathroom,Area_code,Price (euros),Prop_size (m^2)
Montmartre - SacrÃ©-coeur - Perfect pied-Ã -terre with amazing views,641304.0,1875.0,Apartments,430.0,612.0,3.0,1.0,1.0,75018,589999.0,39.0
Renovated flat with open view - Paris 4th - Marais,635870.0,1860.0,Apartments,452.0,465.0,2.0,1.0,1.0,75004,585000.0,41.0
Saint-Germain-des-PrÃ©s,608696.0,1800.0,Apartments,312.0,2614.5196078431372,5.0,1.0,2.0,75006,560000.0,28.0
Saint-Germain-des-PrÃ©s,608696.0,1800.0,Apartments,312.0,641.0,5.0,1.0,2.0,75006,560000.0,28.0
"PARIS 17, MONCEAU PARK",597826.0,1900.0,Apartments,473.0,2614.5196078431372,5.0,1.0,2.0,75017,549999.0,43.0
House,596739.0,1880.0,Single Family Homes,441.0,635.0,5.0,1.0,2.0,75003,548999.0,40.0
Perfect Pied-Ã -terre in front of the Jardins du Luxembourg,576087.0,1964.0,Apartments,441.0,1274.0,5.0,1.0,2.0,75006,530000.0,40.0
Apartment,357609.0,1800.0,Apartments,236.0,2614.5196078431372,1.0,3.0,1.0,75003,329000.0,21.0
Paris XVI - Art deco Penthouse opening on terraces,2089674.0,1930.0,Apartments,1304.1100000000001,7089.0,10.0,4.0,4.0,75016,1877499.0,119.5
Rare apartment by Jacques Garcia,2089674.0,1929.0,Apartments,1304.1100000000001,2614.5196078431372,5.0,3.0,5.0,75016,1877499.0,119.5
Paris 16Ã¨me- AUTEUIL HIPPODROME,2089674.0,1956.0,Apartments,2884.0,7672.0,5.0,4.0,3.0,75016,1877499.0,265.0
HÃ´tel des Invalides - Paris 7th,2089674.0,1880.0,Apartments,3455.0,4314.0,9.0,2.0,2.0,75007,1877499.0,317.0
Elegant renovated family apartment close to Rue du Bac,2089674.0,1892.0,Apartments,3562.0,5435.0,7.0,3.0,3.0,75007,1877499.0,327.0
Apartment in Paris 16th - Pompe / Victor Hugo,2089674.0,1900.0,Apartments,2927.0,2614.5196078431372,6.0,4.0,2.0,75016,1877499.0,269.0
Magnificent family and reception apartment close to the Avenue Montaigne,2089674.0,1880.0,Apartments,1304.1100000000001,2614.5196078431372,5.0,4.0,2.0,75008,1877499.0,119.5
Apartment in Paris 8th - Triangle d'Or,2089674.0,1930.0,Apartments,1304.1100000000001,2614.5196078431372,10.0,3.0,5.0,75008,1877499.0,119.5
Apartment,2089674.0,1900.0,Apartments,2400.0,6122.0,5.0,2.0,5.0,75004,1877499.0,220.0
Duplex,2089674.0,1929.0,Duplex Homes,2109.0,2614.5196078431372,5.0,3.0,2.0,75006,1877499.0,194.0
Palais de l'ElysÃ©e - Place Beauvau,2089674.0,1825.0,Duplex Homes,2238.0,4468.0,5.0,3.0,2.0,75008,1877499.0,205.0
Prestigious property - Paris VII - Saint Germain des PrÃ©s,2089674.0,1780.0,Apartments,2045.0,5292.0,5.0,3.0,6.0,75007,1877499.0,188.0
Mansion,2089674.0,1930.0,Single Family Homes,3186.0,4278.0,8.0,4.0,2.0,75116,1877499.0,293.0
Elegant bright family apartment with balcony in Paris 16th.,2089674.0,1890.0,Apartments,2906.0,6747.0,7.0,4.0,3.0,75016,1877499.0,267.0
Apartment in Paris 16th - Henri Martin,2089674.0,1900.0,Apartments,2647.0,2614.5196078431372,6.0,3.0,3.0,75016,1877499.0,243.0
"Rare townhouse with garden, in the heart of the Gros Caillou district.",2089674.0,1900.0,Townhouse,2852.0,2614.5196078431372,9.0,3.0,4.0,75007,1877499.0,262.0
luxury apartment for sale paris 7,2089674.0,1880.0,Apartments,2938.0,5217.0,8.0,3.0,6.0,75007,1877499.0,270.0
Saint-Germain-des-PrÃ©s,2089674.0,1993.0,Duplex Homes,1862.0,2614.5196078431372,5.0,2.0,2.0,75006,1877499.0,171.0
Duplex,2089674.0,1896.0,Duplex Homes,3089.0,2614.5196078431372,9.0,3.0,2.0,75007,1877499.0,284.0
Apartment,2089674.0,1824.0,Apartments,1937.0,2688.0,5.0,3.0,3.0,75008,1877499.0,178.0
Apartment in Paris 16th - TrocadÃ©ro,2089674.0,1888.0,Apartments,2690.0,2614.5196078431372,5.0,3.0,3.0,75016,1877499.0,247.0
Apartment with terraces for sale in Paris 16th - Passy,2089674.0,2004.0,Apartments,2830.0,2614.5196078431372,5.0,3.0,2.0,75016,1877499.0,260.0
Quai Voltaire,6413043.0,1768.0,Duplex Homes,2271.0,3997.0,5.0,2.0,5.0,75007,5899999.0,208.0
Hoche / Parc Monceau,6391304.0,1913.0,Single Family Homes,3100.0,2614.5196078431372,9.0,3.0,6.0,75008,5879999.0,285.0
HÃ´tel particulier Paris 17Ã¨me - Pereire,6250000.0,1890.0,Single Family Homes,1304.1100000000001,2614.5196078431372,9.0,3.0,4.0,75017,5750000.0,119.5
Saint-Germain-des- PrÃ©s-/Rue Bonaparte,6250000.0,1880.0,Apartments,1797.0,2614.5196078431372,5.0,2.0,5.0,75006,5750000.0,165.0
Paris V - Family and reception apartment place du PanthÃ©on,5967391.0,1927.0,Apartments,2744.0,5514.0,7.0,3.0,5.0,75005,5489999.0,252.0
Avenue Montaigne,3033588.754534462,1880.0,Apartments,1776.0,4728.0,6.0,3.0,4.0,75008,2734686.343601896,163.0
Golden Triangle: a rare 3 bedroom turnkey apartment,5380435.0,1880.0,Apartments,1722.0,2614.5196078431372,5.0,3.0,3.0,75008,4950000.0,158.0
Apartment in Paris 8th - Triangle d'or,5378261.0,1880.0,Apartments,1722.0,2614.5196078431372,6.0,3.0,5.0,75008,4948000.0,158.0
Apartment in Paris 16th - Marceau / Pierre de Serbie,5135870.0,1893.0,Apartments,3089.0,2614.5196078431372,5.0,3.0,2.0,75116,4725000.0,284.0
Victor Hugo - TrocadÃ©ro,5108696.0,2006.0,Duplex Homes,2325.0,2614.5196078431372,5.0,4.0,3.0,75016,4700000.0,213.0
"Parc Monceau, magnificent reception apartment!",5043478.0,1907.0,Apartments,2680.0,2614.5196078431372,7.0,3.0,6.0,75008,4639999.0,246.0
Apartment in Paris 16th - Victor Hugo,4978261.0,1900.0,Apartments,3013.0,2614.5196078431372,8.0,3.0,4.0,75016,4580000.0,277.0
Apartment in Paris 16th - TrocadÃ©ro,4891304.0,1900.0,Apartments,1582.0,3483.0,5.0,3.0,4.0,75016,4499999.0,145.0
PARIS 8 - GOLDEN TRIANGLE,4782609.0,1850.0,Apartments,2174.0,2614.5196078431372,5.0,2.0,3.0,75008,4400000.0,200.0
"Appartement de Luxe - 16Ã¨me Arrondissement, Paris",4760870.0,1925.0,Apartments,3164.0,3970.0,7.0,3.0,4.0,75016,4380000.0,291.0
Family property with balconies close to the Jardin du Ranelagh,4673913.0,1971.0,Apartments,2551.0,1216.0,6.0,3.0,3.0,75116,4299999.0,234.0
Apartment in Paris 6th - Saint-Sulpice,4673913.0,1900.0,Apartments,1496.0,2174.0,5.0,2.0,4.0,75006,4299999.0,137.0
Paris 1st - Rue de Rivoli / Tuileries,4565217.0,1860.0,Apartments,3336.0,5761.0,5.0,3.0,6.0,75001,4199999.0,306.0
"Avenue Montaigne. Pied-Ã -terre with terrace, two suites, a box.",4336957.0,1940.0,Apartments,1270.0,6688.0,3.0,2.0,5.0,75008,3990000.0,116.0
Friedland Faubourg Saint-HonorÃ©,4336957.0,1880.0,Apartments,2594.0,2614.5196078431372,5.0,3.0,4.0,75008,3990000.0,238.0
House in Paris 14th - AlÃ©sia,4326087.0,2007.0,Townhouse,1304.1100000000001,4202.0,10.0,3.0,2.0,75014,3980000.0,119.5
Apartment in Paris 16th - TrocadÃ©ro,4293478.0,1888.0,Apartments,2712.0,2614.5196078431372,5.0,4.0,6.0,75016,3949999.0,249.0
6-bedroom family apartment.,4239130.0,1924.0,Apartments,3089.0,4562.0,9.0,3.0,2.0,75008,3899999.0,284.0
Duplex,4228261.0,1880.0,Apartments,2152.0,6086.0,5.0,2.0,3.0,75008,3890000.0,197.0
PARIS 8 - GOLDEN TRIANGLE,4130435.0,1850.0,Apartments,2174.0,2614.5196078431372,5.0,2.0,3.0,75008,3800000.0,200.0
Appartement de 302 mÂ² aux beaux volumes - Paris 17Ã¨me - Etoile,4108696.0,1913.0,Apartments,3250.0,3152.0,10.0,3.0,2.0,75017,3780000.0,299.0
Apartment in Paris 16th - La Muette,4076087.0,1910.0,Apartments,2443.0,2614.5196078431372,6.0,3.0,5.0,75016,3750000.0,224.0
Sole Agent - Nice three bedrooms apartment,3956522.0,1849.0,Apartments,1528.0,2925.0,5.0,3.0,4.0,75007,3640000.0,140.0
Family home near Batignolles,3940217.0,1886.0,Single Family Homes,1304.1100000000001,5855.0,5.0,3.0,6.0,75017,3624999.0,119.5
Apartment in Paris 17th - Plaine Monceau,3913043.0,1900.0,Apartments,2992.0,7717.0,9.0,3.0,2.0,75017,3599999.0,275.0
Paris VI - Stunning Reception Apartment,3826087.0,1890.0,Apartments,1560.0,3496.0,4.0,2.0,2.0,75006,3520000.0,143.0
Apartment in Paris 16th - Passy,3804348.0,1931.0,Apartments,1948.0,5109.0,6.0,2.0,5.0,75016,3500000.0,179.0
SUPERBE APPARTEMENT - PLEINE VUE TOUR EIFFEL,3684783.0,1910.0,Apartments,1248.0,2614.5196078431372,5.0,2.0,4.0,75007,3390000.0,114.0
APPARTEMENT TRIANGLE D'OR - PARIS 8,3657609.0,1963.0,Apartments,1097.0,2614.5196078431372,4.0,2.0,3.0,75008,3365000.0,100.0
Gros Caillou UniversitÃ© - Beautiful through apartment - 4 Bedrooms,3641304.0,1930.0,Apartments,2400.0,737.0,6.0,4.0,4.0,75007,3349999.0,220.0
PARIS 8 - GOLDEN TRIANGLE / MONTAIGNE / CHAMPS-Ã‰LYSÃ‰ES,3586957.0,1850.0,Apartments,2066.0,3053.0,6.0,3.0,3.0,75008,3300000.0,190.0
Pompe Victor Hugo superbe appartement en parfait Ã©tat,3576087.0,1914.0,Apartments,2798.0,2614.5196078431372,5.0,4.0,6.0,75016,3290000.0,257.0
Family and reception flat - Paris 16th - Foch-Victor Hugo,3467391.0,1895.0,Apartments,3121.0,2614.5196078431372,5.0,3.0,4.0,75116,3189999.0,287.0
Private mansion in the heart of Saint-Germain-des-PrÃ©s'district,3391304.0,1850.0,Townhouse,1915.0,2614.5196078431372,5.0,3.0,4.0,75006,3119999.0,176.0
