,Type,Rental type,Acreage,Bedrooms,Price/month_new
0,0.0,0.0,27.0,1.0,1125.0
1,0.0,1.0,80.0,2.0,1300.0
2,0.0,2.0,15.0,1.0,800.0
3,0.0,1.0,65.0,1.0,2200.0
4,0.0,2.0,45.0,1.0,1150.0
5,1.0,1.0,70.0,2.0,1200.0
6,0.0,0.0,45.0,1.0,1440.0
7,0.0,2.0,45.0,1.0,1200.0
8,0.0,2.0,35.0,1.0,1250.0
9,0.0,2.0,28.0,1.0,1432.0
10,0.0,2.0,32.0,1.0,1443.0
11,0.0,2.0,26.0,1.0,1438.0
12,0.0,2.0,52.0,1.0,1700.0
13,0.0,2.0,31.0,1.0,1609.0
14,0.0,2.0,20.0,1.0,1117.0
15,0.0,2.0,26.0,1.0,1470.0
16,0.0,2.0,25.0,1.0,1355.0
17,0.0,2.0,33.0,1.0,1624.0
18,0.0,2.0,33.0,1.0,1618.0
19,0.0,2.0,30.0,1.0,1378.0
20,0.0,2.0,27.0,1.0,2310.0
21,0.0,2.0,24.0,1.0,1430.0
22,0.0,0.0,45.0,1.0,1480.0
23,0.0,2.0,29.0,1.0,2597.0
24,0.0,2.0,54.0,1.0,2530.0
25,0.0,2.0,50.0,1.0,2250.0
26,0.0,2.0,44.0,1.0,1728.0
27,0.0,2.0,30.0,1.0,1726.0
28,0.0,2.0,30.0,1.0,2369.0
29,0.0,2.0,28.0,1.0,1760.0
30,0.0,2.0,26.0,1.0,1730.0
31,0.0,2.0,35.0,1.0,1760.0
32,0.0,2.0,34.0,1.0,1836.0
33,0.0,2.0,57.0,1.0,1855.0
34,0.0,2.0,36.0,1.0,1836.0
35,0.0,2.0,39.0,1.0,1853.0
36,0.0,2.0,50.0,1.0,1834.0
37,0.0,2.0,37.0,1.0,1400.0
38,0.0,2.0,29.0,1.0,1870.0
39,0.0,2.0,25.0,1.0,1324.0
40,0.0,2.0,33.0,1.0,1800.0
41,0.0,2.0,49.0,1.0,1908.0
42,0.0,2.0,32.0,1.0,1908.0
43,0.0,2.0,22.0,1.0,1908.0
44,0.0,2.0,39.0,1.0,1908.0
45,0.0,2.0,45.0,1.0,1908.0
46,0.0,2.0,50.0,2.0,1908.0
47,0.0,2.0,50.0,1.0,1926.0
48,0.0,2.0,45.0,1.0,1997.0
49,0.0,2.0,34.0,1.0,1978.0
50,0.0,2.0,39.0,1.0,1981.0
51,0.0,2.0,45.0,1.0,1978.0
52,0.0,2.0,30.0,1.0,2090.0
53,0.0,2.0,34.0,1.0,1997.0
54,0.0,2.0,28.0,1.0,1728.0
55,0.0,2.0,42.0,1.0,1960.0
56,0.0,2.0,29.0,1.0,1484.0
57,0.0,2.0,41.0,1.0,2014.0
58,0.0,2.0,38.0,1.0,2014.0
59,0.0,2.0,28.0,1.0,2014.0
60,0.0,2.0,46.0,1.0,2014.0
61,0.0,2.0,45.0,1.0,2400.0
62,0.0,2.0,55.0,1.0,2014.0
63,0.0,2.0,56.0,2.0,2750.0
64,0.0,2.0,34.0,1.0,2068.0
65,0.0,2.0,33.0,1.0,1567.0
66,0.0,2.0,40.0,1.0,1567.0
67,0.0,1.0,23.0,1.0,1300.0
68,0.0,2.0,23.0,1.0,1304.0
69,0.0,2.0,44.0,1.0,3296.0
70,0.0,2.0,43.0,1.0,2088.0
71,0.0,2.0,30.0,1.0,1570.0
72,0.0,2.0,29.0,1.0,1590.0
73,0.0,2.0,27.0,1.0,1590.0
74,0.0,2.0,38.0,1.0,1590.0
75,0.0,2.0,39.0,1.0,1590.0
76,0.0,2.0,17.0,1.0,1358.0
77,0.0,2.0,30.0,1.0,1590.0
78,0.0,2.0,30.0,1.0,1595.0
79,0.0,2.0,41.0,1.0,1595.0
80,0.0,2.0,30.0,1.0,1618.0
81,0.0,2.0,30.0,1.0,1844.0
82,0.0,2.0,42.0,1.0,2530.0
83,0.0,2.0,29.0,1.0,1789.0
84,0.0,2.0,44.0,1.0,1618.0
85,0.0,2.0,31.0,1.0,1673.0
86,0.0,2.0,26.0,1.0,1630.0
87,0.0,2.0,37.0,1.0,3357.0
88,0.0,2.0,51.0,2.0,2233.0
89,0.0,2.0,24.0,1.0,2359.0
90,0.0,1.0,70.0,2.0,4340.0
91,0.0,2.0,40.0,1.0,2639.0
92,0.0,2.0,52.0,2.0,2205.0
93,0.0,2.0,21.0,1.0,1166.0
94,0.0,2.0,41.0,1.0,1650.0
95,0.0,2.0,50.0,1.0,1686.0
96,0.0,2.0,22.0,1.0,1710.0
97,0.0,2.0,29.0,1.0,1450.0
98,0.0,2.0,51.0,1.0,2200.0
99,0.0,2.0,50.0,1.0,2268.0
100,0.0,2.0,34.0,1.0,2268.0
101,0.0,2.0,72.0,2.0,3601.0
102,0.0,2.0,35.0,1.0,1744.0
103,0.0,2.0,35.0,1.0,2385.0
104,0.0,2.0,30.0,1.0,2351.0
105,0.0,2.0,29.0,1.0,1767.0
106,0.0,2.0,48.0,1.0,1753.0
107,0.0,2.0,25.0,1.0,1239.0
108,0.0,2.0,27.0,1.0,1759.0
109,0.0,2.0,30.0,1.0,1800.0
110,0.0,2.0,37.0,1.0,2280.0
111,0.0,2.0,52.0,1.0,2280.0
112,0.0,2.0,35.0,1.0,1802.0
113,0.0,2.0,39.0,1.0,1802.0
114,0.0,2.0,45.0,1.0,2500.0
115,0.0,2.0,32.0,1.0,1819.0
116,0.0,2.0,33.0,1.0,2033.0
117,0.0,1.0,48.0,1.0,1750.0
118,0.0,1.0,35.0,1.0,1750.0
119,0.0,2.0,70.0,2.0,2332.0
120,0.0,2.0,52.0,1.0,1841.0
121,0.0,2.0,20.0,1.0,2544.0
122,0.0,2.0,30.0,1.0,1585.0
123,0.0,2.0,41.0,1.0,1847.0
124,0.0,2.0,46.0,1.0,2109.0
125,0.0,2.0,49.0,1.0,1590.0
126,0.0,2.0,41.0,1.0,1590.0
127,0.0,2.0,25.0,1.0,1595.0
128,0.0,2.0,28.0,1.0,1366.0
129,0.0,2.0,59.0,1.0,1909.0
130,0.0,2.0,29.0,1.0,2516.0
131,0.0,2.0,35.0,1.0,1367.0
132,0.0,2.0,30.0,1.0,1378.0
133,0.0,2.0,35.0,1.0,2988.0
134,0.0,2.0,19.0,1.0,1378.0
135,0.0,2.0,45.0,1.0,1896.0
136,0.0,2.0,51.0,1.0,2438.0
137,0.0,2.0,45.0,1.0,2438.0
138,0.0,2.0,35.0,1.0,2672.0
139,0.0,2.0,41.0,1.0,1950.0
140,0.0,2.0,36.0,1.0,1944.0
141,0.0,2.0,39.0,1.0,1944.0
142,0.0,2.0,22.0,1.0,3100.0
143,0.0,2.0,36.0,1.0,2455.0
144,0.0,2.0,35.0,1.0,1997.0
145,0.0,2.0,37.0,1.0,1478.0
146,0.0,1.0,81.0,1.0,2350.0
147,0.0,1.0,68.0,2.0,2800.0
