price(euros),energy_class,climate_class,subtype,district,bathroom_lavatory_counts,is_rent,rent_or_sale,floor_num,rooms_num,bedrooms_num,area(m^2)
3250000,D,D,Apartment,Paris 16th (75016),2,False,sale,6,8,2,188.52
3500000,D,D,Apartment,Paris 6th (75006),2,False,sale,3,8,2,233.0
3360000,E,E,Apartment,Paris 7th (75007),2,False,sale,4,5,2,152.23
2400000,C,A,Apartment,Paris 14th (75014),2,False,sale,3,5,2,151.55
2850000,C,C,Apartment,Paris 7th (75007),3,False,sale,Top,5,3,130.0
2050000,E,E,Apartment,Paris 8th (75008),2,False,sale,4,5,2,165.0
350000,D,E,Apartment,Paris 16th (75016),2,False,sale,5,1,2,95.0
1290000,D,A,Apartment,Paris 16th (75016),2,False,sale,Top,4,2,77.0
1999000,A,C,Apartment,Paris 16th (75016),3,False,sale,1,5,3,146.0
1500000,D,E,Apartment,Paris 6th (75006),3,False,sale,2,6,3,92.0
2900000,G,F,Apartment,Paris 6th (75006),2,False,sale,1,5,2,180.0
1550000,C,D,Apartment,Paris 8th (75008),1,False,sale,8,2,1,65.0
1400000,D,E,House,Paris 16th (75016),0,False,sale,5,5,0,118.0
1895000,E,E,Apartment,Paris 16th (75016),4,False,sale,3,7,4,154.0
1290000,E,E,Apartment,Paris 6th (75006),1,False,sale,4,3,1,48.0
2200000,D,C,Apartment,Paris 6th (75006),3,False,sale,4,3,3,80.0
900000,D,D,Apartment,Paris 6th (75006),1,False,sale,3,1,1,68.0
2248000,G,F,Apartment,Paris 6th (75006),2,False,sale,4,5,2,151.0
3150000,F,F,Apartment,Paris 3rd (75003),3,False,sale,5,4,3,126.0
1270000,E,D,Apartment,Paris 16th (75016),2,False,sale,2,3,2,124.22
2600000,E,E,Apartment,Paris 5th (75005),4,False,sale,3,5,4,133.0
470000,G,C,Apartment,Paris 7th (75007),1,False,sale,Ground,2,1,35.74
2080000,D,D,Apartment,Paris 7th (75007),2,False,sale,2,3,2,95.23
280000,F,C,Apartment,Paris 8th (75008),1,False,sale,4,1,1,21.34
2200000,F,E,Apartment,Paris 16th (75016),3,False,sale,2,4,3,106.75
3150000,G,E,Apartment,Paris 7th (75007),3,False,sale,6,5,3,127.0
2200000,G,F,Apartment,Paris 16th (75016),2,False,sale,7,3,2,97.0
600000,D,E,Apartment,Paris 16th (75016),3,False,sale,Ground,2,3,60.0
2392000,F,C,Apartment,Paris 6th (75006),1,False,sale,1,3,1,89.46
3200000,C,C,Apartment,Paris 6th (75006),3,False,sale,2,6,3,183.0
2250000,G,G,Apartment,Paris 8th (75008),2,False,sale,3,3,2,104.0
697500,E,E,Apartment,Paris 8th (75008),0,False,sale,4,2,0,44.8
1200000,C,A,Apartment,Paris 6th (75006),2,False,sale,4,3,2,60.0
2450000,E,E,Apartment,Paris 6th (75006),2,False,sale,2,5,2,127.0
2060000,D,D,Apartment,Paris 17th (75017),4,False,sale,6,6,4,156.02
2950000,D,E,Apartment,Paris 16th (75016),1,False,sale,5,6,1,154.0
1850000,E,F,Apartment,Paris 16th (75016),3,False,sale,3,5,3,116.88
895000,C,E,Apartment,Paris 15th (75015),2,False,sale,2,4,2,73.2
549000,D,E,Apartment,Paris 5th (75005),1,False,sale,3,2,1,34.7
1980000,D,D,Apartment,Paris 15th (75015),2,False,sale,6,4,2,110.0
1650000,C,A,Apartment,Paris 16th (75016),2,False,sale,5,4,2,85.0
690000,C,D,Apartment,Paris 7th (75007),1,False,sale,4,2,1,33.01
695000,A,E,Apartment,Paris 16th (75016),2,False,sale,5,2,2,41.0
1500000,G,F,Apartment,Paris 14th (75014),3,False,sale,4,4,3,120.0
1350000,G,G,Apartment,Paris 6th (75006),1,False,sale,2,4,1,88.0
2100000,B,C,Apartment,Paris 6th (75006),1,False,sale,1,4,1,102.44
1390000,D,E,Apartment,Paris 16th (75016),2,False,sale,1,4,2,96.05
3350000,G,G,House,Paris 17th (75017),3,False,sale,Ground,5,3,144.99
1500000,E,F,Apartment,Paris 6th (75006),3,False,sale,3,4,3,88.23
590000,E,B,Apartment,Paris 6th (75006),0,False,sale,4,2,0,41.58
1030000,D,F,Apartment,Paris 8th (75008),1,False,sale,2,2,1,56.41
2485000,E,F,Apartment,Paris 7th (75007),3,False,sale,1,5,3,145.38
2690000,D,E,Apartment,Paris 9th (75009),2,False,sale,Ground,8,2,200.0
2250000,D,D,Apartment,Paris 7th (75007),4,False,sale,3,5,4,135.0
2080000,E,F,Apartment,Paris 16th (75016),1,False,sale,2,5,1,145.0
525000,D,B,Apartment,Paris 16th (75016),0,False,sale,Ground,2,0,34.35
3300000,C,D,Apartment,Paris 8th (75008),2,False,sale,5,5,2,121.18
2146,D,E,Apartment,Paris 4th (75004),2,True,rent,4,2,2,50.0
8865,E,C,Apartment,Paris 16th (75016),3,True,rent,6,3,3,106.0
1860,F,C,Apartment,Paris 3rd (75003),1,True,rent,4,2,1,50.0
1850,D,B,Apartment,Paris 16th (75016),1,True,rent,2,2,1,47.63
1800,D,E,Apartment,Paris 17th (75017),2,True,rent,3,2,2,46.3
2999,D,D,Apartment,Paris 16th (75016),2,True,rent,7,3,2,93.0
3500,F,F,Apartment,Paris 7th (75007),2,True,rent,2,3,2,69.44
2000,D,A,Apartment,Paris 7th (75007),2,True,rent,3,2,2,33.68
2380,D,B,Apartment,Paris 17th (75017),2,True,rent,1,3,2,70.0
3900,D,E,Apartment,Paris 17th (75017),3,True,rent,1,5,3,125.67
3845,G,F,Apartment,Paris 17th (75017),2,True,rent,4,4,2,82.5
4577,C,C,Apartment,Paris 16th (75016),3,True,rent,2,5,3,139.0
15000,D,D,Apartment,Paris 7th (75007),6,True,rent,2,8,6,272.33
1900,E,B,Apartment,Paris 20th (75020),1,True,rent,7,2,1,58.0
1500,D,B,Apartment,Paris 2nd (75002),1,True,rent,1,2,1,28.0
1704,D,E,Apartment,Paris 9th (75009),2,True,rent,2,3,2,51.0
2800,B,G,Apartment,Paris 4th (75004),2,True,rent,3,3,2,66.6
3000,D,E,Apartment,Paris 19th (75019),2,True,rent,4,3,2,92.0
2250,D,D,Apartment,Paris 6th (75006),1,True,rent,4,2,1,45.06
1740,B,B,Apartment,Paris 2nd (75002),1,True,rent,5,2,1,39.37
4250,D,E,Apartment,Paris 6th (75006),3,True,rent,2,4,3,103.1
2750,D,B,Apartment,Paris 7th (75007),3,True,rent,2,4,3,66.85
1750,G,G,Apartment,Paris 17th (75017),2,True,rent,7,2,2,38.0
2495,G,G,Apartment,Paris 18th (75018),2,True,rent,3,4,2,65.8
1343,G,F,Apartment,Paris 2nd (75002),1,True,rent,5,1,1,24.56
1210,F,C,Apartment,Paris 5th (75005),1,True,rent,3,1,1,27.38
11500,D,D,Apartment,Paris 16th (75016),5,True,rent,2,7,5,232.01
2000,D,D,Apartment,Paris 16th (75016),1,True,rent,2,2,1,52.0
1341,B,C,Apartment,Paris 13th (75013),2,True,rent,5,2,2,40.68
3780,A,A,Apartment,Paris 17th (75017),6,True,rent,6,5,6,88.67
7739,E,E,Apartment,Paris 8th (75008),5,True,rent,5,7,5,224.0
3417,G,G,Apartment,Paris 17th (75017),3,True,rent,2,4,3,107.6
3010,G,G,Apartment,Paris 17th (75017),3,True,rent,6,4,3,113.0
2300,G,F,Apartment,Paris 15th (75015),2,True,rent,2,3,2,70.0
9500,A,A,Apartment,Paris 17th (75017),5,True,rent,1,6,5,200.0
7500,D,D,Apartment,Paris 17th (75017),4,True,rent,2,7,4,204.0
4000,F,G,Apartment,Paris 9th (75009),4,True,rent,2,6,4,164.52
3200,E,D,Apartment,Paris 7th (75007),2,True,rent,6,2,2,56.3
3200,E,B,Apartment,Paris 17th (75017),2,True,rent,6,3,2,75.0
5400,D,D,Apartment,Paris 7th (75007),3,True,rent,5,5,3,125.0
2535,D,E,Apartment,Paris 7th (75007),1,True,rent,Ground,2,1,76.48
5600,E,E,Apartment,Paris 7th (75007),4,True,rent,5,4,4,106.52
2850,D,D,Apartment,Paris 1st (75001),1,True,rent,4,3,1,81.55
3300,D,E,Apartment,Paris 8th (75008),3,True,rent,2,4,3,104.0
2300,F,G,Apartment,Paris 4th (75004),2,True,rent,3,2,2,50.34
4300,C,D,Apartment,Paris 17th (75017),3,True,rent,4,5,3,121.0
2943,G,G,Apartment,Paris 9th (75009),1,True,rent,4,4,1,109.0
3500,E,B,Apartment,Paris 9th (75009),2,True,rent,4,3,2,86.0
1340,B,C,Apartment,Paris 13th (75013),2,True,rent,5,2,2,40.68
3070,G,G,Apartment,Paris 15th (75015),2,True,rent,1,3,2,79.77
6800,D,E,Apartment,Paris 17th (75017),4,True,rent,6,7,4,205.82
2100,C,D,Apartment,Paris 10th (75010),2,True,rent,5,2,2,63.0
3100,D,D,Apartment,Paris 6th (75006),2,True,rent,3,3,2,80.46
5340,C,A,Apartment,Paris 6th (75006),3,True,rent,2,3,3,95.07
9800,D,B,Apartment,Paris 4th (75004),5,True,rent,4,6,5,195.7
3770,D,B,Apartment,Paris 7th (75007),3,True,rent,5,4,3,89.9
20925,E,C,Apartment,Paris 16th (75016),5,True,rent,1,8,5,322.0
4300,C,D,Apartment,Paris 17th (75017),3,True,rent,4,5,3,121.0
1950,E,E,Apartment,Paris 5th (75005),1,True,rent,5,2,1,58.7
2185,C,D,Apartment,Paris 8th (75008),2,True,rent,4,2,2,51.0
2200,E,F,Apartment,Paris 17th (75017),1,True,rent,5,3,1,55.0
2000,E,B,Apartment,Paris 5th (75005),1,True,rent,Ground,2,1,33.39
1950,E,F,Apartment,Paris 5th (75005),2,True,rent,4,2,2,42.5
6000,C,C,Apartment,Paris 16th (75016),3,True,rent,4,3,3,92.7
2300,F,B,Apartment,Paris 16th (75016),2,True,rent,1,3,2,52.21
1300,E,D,Apartment,Paris 6th (75006),1,True,rent,5,1,1,20.18
1700,D,B,Apartment,Paris 4th (75004),1,True,rent,5,2,1,37.0
850,G,C,Apartment,Paris 5th (75005),1,True,rent,3,1,1,14.01
5500,D,E,Apartment,Paris 9th (75009),3,True,rent,2,4,3,140.0
2894,E,B,Apartment,Paris 16th (75016),3,True,rent,1,3,3,69.5
2174,F,F,Apartment,Paris 9th (75009),3,True,rent,4,4,3,80.5
2250,G,C,Apartment,Paris 5th (75005),1,True,rent,3,2,1,46.8
4200,D,B,Apartment,Paris 5th (75005),4,True,rent,5,4,4,105.0
5362,D,B,Apartment,Paris 16th (75016),4,True,rent,5,4,4,111.0
10000,D,E,Apartment,Paris 8th (75008),6,True,rent,1,7,6,232.0
8150,C,A,Apartment,Paris 8th (75008),3,True,rent,4,3,3,82.0
2600,G,G,Apartment,Paris 9th (75009),2,True,rent,2,3,2,70.0
3150,D,D,Apartment,Paris 6th (75006),2,True,rent,1,5,2,85.21
4015,D,B,Apartment,Paris 7th (75007),3,True,rent,3,3,3,109.58
3500,F,C,Apartment,Paris 7th (75007),4,True,rent,5,4,4,74.4
3200,D,B,Apartment,Paris 5th (75005),2,True,rent,2,4,2,82.59
5300,E,D,Apartment,Paris 16th (75016),3,True,rent,3,6,3,171.0
1865,E,E,Apartment,Paris 3rd (75003),1,True,rent,3,2,1,40.0
3825,C,C,Apartment,Paris 16th (75016),3,True,rent,2,4,3,125.0
4134,D,D,Apartment,Paris 7th (75007),2,True,rent,5,2,2,91.57
6859,B,A,Apartment,Paris 2nd (75002),2,True,rent,6,5,2,142.9
2408,D,E,Apartment,Paris 17th (75017),2,True,rent,4,2,2,61.19
1160,E,B,Apartment,Paris 15th (75015),2,True,rent,2,1,2,24.53
8200,C,D,Apartment,Paris 7th (75007),3,True,rent,5,6,3,178.59
3000,D,B,Apartment,Paris 6th (75006),2,True,rent,1,3,2,63.02
1677,E,D,Apartment,Paris 16th (75016),1,True,rent,Ground,1,1,53.0
5220,D,D,Apartment,Paris 17th (75017),4,True,rent,2,6,4,150.0
1500,D,B,Apartment,Paris 15th (75015),1,True,rent,2,2,1,35.8
4768,G,G,Apartment,Paris 16th (75016),3,True,rent,7,5,3,155.8
3700,D,D,Apartment,Paris 8th (75008),3,True,rent,5,3,3,105.0
4000,D,B,Apartment,Paris 16th (75016),4,True,rent,3,4,4,107.15
5500,E,E,Apartment,Paris 17th (75017),3,True,rent,4,5,3,160.6
5000,C,C,Apartment,Paris 7th (75007),3,True,rent,2,5,3,141.27
2200,D,B,Apartment,Paris 16th (75016),1,True,rent,1,2,1,41.13
2500,G,G,Apartment,Paris 6th (75006),1,True,rent,5,2,1,40.0
3000,C,C,Apartment,Paris 17th (75017),2,True,rent,3,3,2,86.7
2600,E,E,Apartment,Paris 16th (75016),2,True,rent,3,2,2,48.6
2000,E,E,Apartment,Paris 5th (75005),1,True,rent,3,2,1,60.0
2000,G,F,Apartment,Paris 6th (75006),2,True,rent,4,1,2,37.0
9100,D,D,Apartment,Paris 16th (75016),6,True,rent,4,6,6,233.0
4725,C,A,Apartment,Paris 16th (75016),5,True,rent,5,5,5,137.6
3500,E,E,Apartment,Paris 15th (75015),4,True,rent,2,4,4,77.0
1250,D,E,Apartment,Paris 14th (75014),1,True,rent,4,1,1,32.0
2400,C,D,Apartment,Paris 7th (75007),2,True,rent,1,3,2,63.93
1300,E,B,Apartment,Paris 7th (75007),2,True,rent,4,2,2,31.86
3000,D,B,Apartment,Paris 7th (75007),3,True,rent,3,4,3,72.66
6755,A,A,Apartment,Paris 17th (75017),4,True,rent,5,7,4,207.4
2600,D,E,Apartment,Paris 17th (75017),2,True,rent,5,3,2,54.58
5500,D,C,Apartment,Paris 5th (75005),3,True,rent,6,5,3,130.0
3500,D,D,Apartment,Paris 16th (75016),2,True,rent,7,3,2,74.52
2740,C,D,Apartment,Paris 5th (75005),2,True,rent,1,3,2,68.0
10000,A,A,House,Paris 8th (75008),5,True,rent,Ground,6,5,196.0
3000,E,E,Apartment,Paris 14th (75014),1,True,rent,6,2,1,64.72
3990,F,C,Apartment,Paris 16th (75016),2,True,rent,2,2,2,52.11
2898,D,E,Apartment,Paris 9th (75009),4,True,rent,4,4,4,103.5
2300,F,C,Apartment,Paris 6th (75006),2,True,rent,4,2,2,44.36
2900,D,B,Apartment,Paris 7th (75007),2,True,rent,2,2,2,73.0
2000,F,C,Apartment,Paris 6th (75006),2,True,rent,1,2,2,40.03
2500,F,E,Apartment,Paris 4th (75004),1,True,rent,Ground,3,1,64.0
2670,E,E,Apartment,Paris 14th (75014),2,True,rent,2,3,2,75.88
3500,F,F,Apartment,Paris 17th (75017),3,True,rent,6,3,3,108.39
3077,B,B,Apartment,Paris 5th (75005),2,True,rent,2,4,2,82.59
2150,D,E,Apartment,Paris 4th (75004),2,True,rent,5,2,2,46.89
2000,E,E,Apartment,Paris 9th (75009),1,True,rent,2,2,1,51.81
4000,D,D,Apartment,Paris 7th (75007),2,True,rent,3,3,2,103.75
1700,D,E,Apartment,Paris 13th (75013),1,True,rent,1,2,1,36.09
1860,F,C,Apartment,Paris 3rd (75003),1,True,rent,4,2,1,42.0
6300,D,E,Apartment,Paris 7th (75007),3,True,rent,1,6,3,163.0
1170,E,E,Apartment,Paris 7th (75007),1,True,rent,1,1,1,25.0
2500,C,A,Apartment,Paris 4th (75004),2,True,rent,1,2,2,50.0
4750,D,D,Apartment,Paris 7th (75007),3,True,rent,1,5,3,110.81
2000,E,B,Apartment,Paris 6th (75006),1,True,rent,2,2,1,40.23
2700,E,B,Apartment,Paris 4th (75004),2,True,rent,4,1,2,23.0
2700,D,D,Apartment,Paris 11th (75011),2,True,rent,1,3,2,71.0
1900,E,E,Apartment,Paris 16th (75016),2,True,rent,2,2,2,57.78
2360,D,D,Apartment,Paris 5th (75005),2,True,rent,3,3,2,72.31
2200,E,B,Apartment,Paris 6th (75006),2,True,rent,4,2,2,42.71
4530,E,E,Apartment,Paris 8th (75008),3,True,rent,3,5,3,129.0
15100,C,C,Apartment,Paris 8th (75008),5,True,rent,3,5,5,160.0
3493,C,A,Apartment,Paris 9th (75009),2,True,rent,2,3,2,88.2
1500,G,C,Apartment,Paris 4th (75004),1,True,rent,6,2,1,30.0
1700,D,E,Apartment,Paris 7th (75007),2,True,rent,2,1,2,42.0
6656,C,D,Apartment,Paris 9th (75009),6,True,rent,1,8,6,290.3
5400,C,C,Apartment,Paris 9th (75009),4,True,rent,3,5,4,200.2
1281,F,E,Apartment,Paris 9th (75009),2,True,rent,3,2,2,36.7
