property_description,total_rooms,accomodation_size,property_size,location,rent_per_month
"Lovely flat, Paris St-Honoré",1,2,26.0, 1st Arrondissement,1950.0
Best location in Paris and calm,3,4,73.0, 1st Arrondissement,2850.0
Studio - 37m² - Bourse,1,2,37.0, 1st Arrondissement,2031.0
Fully equipped flat for two or three people in the centre of Paris. Very functional accommodation.,2,3,40.0, 1st Arrondissement,3666.0
Bright & cozy flat with a balcony in Montorgueil,1,2,50.0, 1st Arrondissement,3300.0
Espace Intime Near Métro Odéon Paris,2,2,23.0, 1st Arrondissement,1380.0
Rental Furnished Appartment - Studio - 31m² - Châtelet - Les Halles,1,2,31.0, 1st Arrondissement,1848.0
Rental Furnished Apartment - 3 rooms - 48m² - Montorgueil- 75002 Paris,3,4,48.0, 1st Arrondissement,3259.0
Charming studio in excellent location,1,2,32.0, 1st Arrondissement,1848.0
Modern Comfort with Vintage Charm,2,2,50.0, 1st Arrondissement,3667.0
Louvre - Palais Royal 2 Bedrooms,2,4,70.0, 1st Arrondissement,4800.0
Apartment  LE LOUVRE,2,2,40.0, 1st Arrondissement,1990.0
"Superb flat, ideally located",2,4,50.0, 1st Arrondissement,2960.0
Saint Honoré Vendome - 1 Bedroom,2,2,72.0, 1st Arrondissement,4320.0
"Beautiful studio ""Bijou"" closed to Musée",1,2,25.0, 1st Arrondissement,2215.0
Louvre - Saint Honore 2 Bedrooms,2,4,52.0, 1st Arrondissement,5400.0
Studio 30m² - Hôtel de Ville - Beaubourg,1,2,30.0, 1st Arrondissement,2301.0
1 bedroom in the heart of the Latin Quarter and close to Notre Dame de Paris,2,3,60.0, 1st Arrondissement,3350.0
"Rental Furnished flat - 3 rooms, Quartier Latin - Saint Germain de Prés",3,4,55.0, 1st Arrondissement,3086.0
Charming Studio in Louvres/Tuileries & Palais Royal,1,2,18.0, 1st Arrondissement,1833.0
Refurnished studio - Quartier Montorgueil,1,2,26.0, 1st Arrondissement,2444.0
"Charming 55m² 6th Floor Apartment - Equipped, Spacious and Ideally Located",3,4,55.0, 1st Arrondissement,4222.0
Modern Studio Retreat: Comfortable Stay for Two,1,2,18.0, 1st Arrondissement,2000.0
"Bright, quiet top floor apartment",3,5,95.0, 1st Arrondissement,4500.0
"Cozy 9m² Studio: Fully-Equipped, High-Speed Internet, and More",1,1,9.0, 1st Arrondissement,1589.0
Beautiful studio in the heart of Paris - Rivoli / Notre-Dame,1,2,35.0, 1st Arrondissement,2278.0
Rental Furnished Apartment - Studio - 18m² - Montorgueil,1,2,18.0, 1st Arrondissement,1946.0
"Cozy 15m² Apartment with Mezzanine, Kitchen, and TV",1,2,15.0, 1st Arrondissement,2000.0
Beautiful flat opposite the Tour St Jacques,2,2,56.0, 1st Arrondissement,3524.0
Cozy apartment - Montorgueil Paris,1,2,28.0, 1st Arrondissement,1950.0
Studio rue Montorgueil,1,1,19.0, 1st Arrondissement,1400.0
"Large, comfortable flat",2,2,95.0, 1st Arrondissement,5413.0
Modern flat in quiet street,1,2,34.0, 1st Arrondissement,2910.0
In the heart of Paris in a quiet courtyard,2,2,61.0, 1st Arrondissement,2500.0
"Luxury 3 bedrooms in StHonore´ Square next to Vendome, Louvre and Opera",3,6,120.0, 1st Arrondissement,18000.0
Bright apartment near Louvre & Palais Royal,2,2,18.0, 1st Arrondissement,2400.0
Charming apartment Louvre-Saint Germain Des Près,1,3,80.0, 1st Arrondissement,4000.0
Charming Apartment for Rent in the Heart of Paris - 58m²,2,4,58.0, 1st Arrondissement,6000.0
"Quiet and bright loft with nice neighbours, Paris",2,2,40.0, 1st Arrondissement,4092.0
"Great, rental flat in Saint Germain des Prés, next to Quai des Augustins - Paris",3,4,55.0, 1st Arrondissement,6600.0
"Charming, comfortable, St Germain des Prés, with AC",2,4,105.0, 1st Arrondissement,14800.0
3 pieces centre de Paris 1ere,2,4,65.0, 1st Arrondissement,15000.0
"Lovely flat, Paris St-Honoré",1,2,26.0, 2nd Arrondissement,1950.0
Studio - 37m² - Bourse,1,2,37.0, 2nd Arrondissement,2031.0
Fully equipped flat for two or three people in the centre of Paris. Very functional accommodation.,2,3,40.0, 2nd Arrondissement,3666.0
Bright & cozy flat with a balcony in Montorgueil,1,2,50.0, 2nd Arrondissement,3300.0
Rental Furnished flat with two bedrooms - 3 rooms - 92m2,3,4,92.0, 2nd Arrondissement,3580.0
Elegant Parisian Studio Just Steps from Rue Montorgueil: Comfort and Sophistication in the Heart of the City of Lights,1,2,23.0, 2nd Arrondissement,2167.0
Rental Furnished Apartment - 3 rooms - 48m² - Montorgueil- 75002 Paris,3,4,48.0, 2nd Arrondissement,3259.0
Charming studio in excellent location,1,2,32.0, 2nd Arrondissement,1848.0
Louvre - Palais Royal 2 Bedrooms,2,4,70.0, 2nd Arrondissement,4800.0
Apartment  LE LOUVRE,2,2,40.0, 2nd Arrondissement,1990.0
