id,Cost,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,cleanliness_rating,guest_satisfaction,bedrooms,dist,metro_dist,lng,lat
0,536.396681890204,Entire home/apt,False,False,5,False,0,9,89,1,1.351,0.212,2.359,48.868
1,290.101593811166,Private room,False,True,2,True,0,10,97,1,0.7,0.194,2.354,48.863
2,445.754497157237,Entire home/apt,False,False,4,False,0,10,100,1,0.969,0.294,2.36,48.864
3,211.34308882468,Private room,False,True,2,False,0,10,94,1,3.302,0.235,2.317,48.875
4,266.334234318203,Entire home/apt,False,False,2,True,0,9,88,1,1.402,0.055,2.334,48.854
5,345.092739304688,Entire home/apt,False,False,2,False,0,9,91,1,0.548,0.196,2.356,48.861
6,387.035138409917,Entire home/apt,False,False,2,True,0,10,96,1,0.882,0.154,2.342,48.853
7,247.926181377574,Entire home/apt,False,False,4,False,0,7,82,1,1.198,0.104,2.359,48.866
8,527.076148755708,Entire home/apt,False,False,4,True,0,10,93,1,1.543,0.549,2.332,48.859
9,193.634075869139,Private room,False,True,2,False,0,10,90,1,3.998,0.416,2.307,48.876
10,207.148848914157,Entire home/apt,False,False,2,False,0,10,95,1,1.425,0.207,2.361,48.868
11,345.092739304688,Entire home/apt,False,False,2,False,0,9,94,0,1.771,0.211,2.335,48.868
12,263.771087706216,Entire home/apt,False,False,2,False,0,9,89,0,1.327,0.164,2.348,48.868
13,242.799888153602,Private room,False,True,2,False,0,10,97,1,1.074,0.139,2.351,48.866
14,382.141858514307,Private room,False,True,2,False,1,10,90,1,1.551,0.188,2.347,48.87
15,372.821325379811,Entire home/apt,False,False,2,False,0,9,87,1,1.693,0.178,2.337,48.868
16,484.20169633703,Entire home/apt,False,False,2,False,0,10,96,1,0.823,0.239,2.354,48.864
17,435.501910709292,Entire home/apt,False,False,4,False,0,9,80,1,1.242,0.07,2.347,48.867
18,509.833162456892,Entire home/apt,False,False,4,False,0,10,93,1,3.251,0.22,2.313,48.869
19,318.296206543014,Entire home/apt,False,False,2,False,0,9,94,0,1.091,0.193,2.341,48.863
20,394.724578245875,Entire home/apt,False,False,2,False,0,9,89,1,1.006,0.326,2.339,48.855
21,287.072420542455,Private room,False,True,2,False,1,10,94,1,2.261,0.112,2.343,48.876
22,305.713486811445,Private room,False,True,2,False,0,9,83,1,2.052,0.082,2.325,48.856
23,866.809581508062,Entire home/apt,False,False,6,False,0,10,88,2,1.189,0.149,2.351,48.867
24,866.809581508062,Entire home/apt,False,False,6,False,0,10,89,2,1.374,0.115,2.353,48.869
25,373.986392021623,Entire home/apt,False,False,2,True,0,10,98,1,1.866,0.267,2.353,48.873
26,287.305433870817,Entire home/apt,False,False,2,False,0,9,91,1,1.271,0.197,2.349,48.868
27,382.141858514307,Entire home/apt,False,False,4,False,0,10,97,1,1.54,0.085,2.332,48.854
28,426.414390903159,Entire home/apt,False,False,3,False,0,9,97,2,1.735,0.327,2.329,48.857
29,486.531829620654,Entire home/apt,False,False,4,False,0,9,95,0,0.321,0.313,2.353,48.854
30,169.633703047814,Entire home/apt,False,False,2,True,0,10,95,0,0.943,0.367,2.361,48.863
31,289.402553826078,Entire home/apt,False,False,2,False,0,8,88,0,0.799,0.257,2.357,48.863
32,507.037002516543,Entire home/apt,False,False,3,True,0,10,94,2,3.859,0.318,2.312,48.879
33,318.296206543014,Entire home/apt,False,False,2,False,1,9,90,1,3.011,0.39,2.318,48.871
34,792.478329760462,Private room,False,True,4,False,0,9,92,2,1.009,0.235,2.36,48.864
35,1121.26013607978,Entire home/apt,False,False,6,False,0,9,91,3,1.433,0.206,2.351,48.869
36,711.15667816199,Entire home/apt,False,False,6,False,0,9,84,2,0.855,0.446,2.361,48.862
37,697.40889178861,Private room,False,True,4,False,0,10,92,1,2.708,0.265,2.321,48.869
38,428.511510858421,Private room,False,True,3,False,0,9,82,1,2.708,0.265,2.321,48.869
39,312.703886662317,Entire home/apt,False,False,2,False,0,9,93,0,0.576,0.093,2.36,48.855
40,735.623077640041,Entire home/apt,False,False,2,True,0,10,98,1,3.145,0.279,2.316,48.871
41,660.126759250629,Entire home/apt,False,False,3,True,0,10,97,1,0.73,0.106,2.347,48.862
42,560.630068039891,Entire home/apt,False,False,4,False,0,10,96,1,2.185,0.109,2.331,48.87
43,291.732687109702,Entire home/apt,False,False,2,False,1,9,90,1,1.47,0.105,2.352,48.87
44,465.560630068039,Entire home/apt,False,False,4,False,0,9,87,2,1.905,0.128,2.34,48.872
45,560.630068039891,Entire home/apt,False,False,4,False,0,10,96,1,2.185,0.109,2.331,48.87
46,212.042128809767,Private room,False,True,2,False,0,10,91,1,1.893,0.154,2.345,48.873
47,663.621959176064,Entire home/apt,False,False,6,False,0,9,85,1,1.786,0.122,2.329,48.853
48,212.042128809767,Private room,False,True,2,False,0,9,90,1,1.767,0.159,2.346,48.872
49,576.941001025258,Entire home/apt,False,False,6,False,0,9,96,2,2.282,0.285,2.322,48.856
50,474.881163202535,Entire home/apt,False,False,4,False,0,9,95,1,2.098,0.161,2.331,48.869
51,559.46500139808,Entire home/apt,False,False,5,False,0,9,95,1,1.19,0.136,2.352,48.867
52,948.83027309162,Entire home/apt,False,False,6,False,0,10,95,2,1.165,0.196,2.35,48.867
53,571.115667816199,Entire home/apt,False,False,5,False,0,9,90,1,1.285,0.194,2.353,48.868
54,527.076148755708,Entire home/apt,False,False,5,False,0,9,93,1,1.097,0.099,2.351,48.866
55,546.649268338149,Entire home/apt,False,False,4,False,0,9,91,1,2.588,0.168,2.332,48.875
56,434.33684406748,Entire home/apt,False,False,2,False,0,10,100,1,1.001,0.294,2.363,48.863
57,277.984900736322,Entire home/apt,False,False,2,True,0,10,93,1,0.871,0.052,2.345,48.851
58,212.042128809767,Private room,False,True,2,False,0,10,93,1,1.774,0.119,2.346,48.872
59,212.042128809767,Private room,False,True,2,False,0,10,94,1,1.764,0.023,2.345,48.872
60,212.042128809767,Private room,False,True,2,False,0,10,91,1,1.794,0.037,2.344,48.872
61,590.455774070276,Entire home/apt,False,False,4,True,0,9,94,2,1.313,0.054,2.366,48.865
62,393.792524932426,Private room,False,True,4,False,0,8,87,1,3.795,0.229,2.308,48.873
63,405.443191350545,Private room,False,True,2,False,0,10,88,1,2.708,0.265,2.321,48.869
64,287.305433870817,Entire home/apt,False,False,2,False,0,9,92,0,1.305,0.154,2.348,48.868
65,254.683567900083,Entire home/apt,False,False,2,False,1,10,94,0,1.112,0.216,2.365,48.862
66,596.514120607698,Entire home/apt,False,False,2,False,1,9,93,0,1.918,0.284,2.327,48.859
67,973.762699226395,Entire home/apt,False,False,5,False,0,9,96,2,3.275,0.252,2.313,48.87
68,606.766707055643,Entire home/apt,False,False,6,False,0,10,96,1,1.724,0.157,2.341,48.87
69,399.384844813123,Entire home/apt,False,False,4,False,1,8,85,1,2.813,0.189,2.325,48.874
70,230.217168422033,Entire home/apt,False,False,2,False,0,10,100,1,2.515,0.154,2.333,48.875
71,218.100475347189,Entire home/apt,False,False,2,False,0,10,90,1,2.544,0.095,2.333,48.876
72,349.986019200298,Entire home/apt,False,False,2,False,0,10,91,0,3.695,0.161,2.309,48.873
73,741.215397520738,Entire home/apt,False,False,2,False,0,10,98,1,0.937,0.217,2.347,48.864
74,210.411035511231,Entire home/apt,False,False,2,False,1,8,88,1,1.822,0.17,2.36,48.872
75,277.984900736322,Private room,False,True,2,True,0,9,93,1,1.317,0.093,2.345,48.867
76,938.344673315313,Entire home/apt,False,False,6,False,0,8,100,2,2.342,0.314,2.321,48.856
77,266.334234318203,Entire home/apt,False,False,4,False,0,7,79,0,1.521,0.085,2.353,48.87
78,1187.4359213347,Private room,False,True,4,False,0,10,92,2,1.301,0.091,2.365,48.865
79,741.4484108491,Entire home/apt,False,False,4,False,0,9,95,2,1.949,0.186,2.33,48.866
80,298.723086960574,Private room,False,True,2,False,0,9,86,1,1.381,0.103,2.337,48.864
81,695.078758504986,Entire home/apt,False,False,6,False,0,9,87,2,1.457,0.09,2.353,48.87
82,287.305433870817,Entire home/apt,False,False,2,False,0,9,89,1,0.937,0.378,2.361,48.863
83,814.381582626526,Entire home/apt,False,False,6,False,0,9,92,1,1.451,0.141,2.352,48.87
84,302.218286886009,Private room,False,True,3,False,0,9,93,1,1.896,0.214,2.346,48.873
85,894.305154254823,Private room,False,True,2,False,0,9,92,0,1.964,0.265,2.333,48.868
86,868.906701463323,Private room,False,True,2,False,0,10,87,1,2.115,0.233,2.331,48.869
87,1274.34989281386,Private room,False,True,4,False,0,10,80,2,2.173,0.129,2.331,48.87
88,317.131139901202,Entire home/apt,False,False,3,False,0,9,89,1,3.101,0.122,2.329,48.879
89,438.298070649641,Entire home/apt,False,False,4,False,1,9,91,1,1.68,0.246,2.364,48.87
90,814.381582626526,Entire home/apt,False,False,6,False,0,9,91,2,1.297,0.196,2.352,48.868
91,848.168515239071,Entire home/apt,False,False,3,False,0,10,100,1,0.572,0.141,2.346,48.859
92,706.729424923105,Entire home/apt,False,False,3,False,0,10,100,1,2.301,0.139,2.332,48.872
93,369.326125454376,Entire home/apt,False,False,2,False,0,9,89,1,0.476,0.038,2.347,48.858
94,970.966539286047,Entire home/apt,False,False,4,False,0,10,100,2,1.399,0.184,2.35,48.869
95,1169.95992170752,Entire home/apt,False,False,6,False,0,9,89,3,1.176,0.246,2.363,48.865
96,359.073539006431,Entire home/apt,False,False,4,True,0,10,93,1,2.01,0.155,2.34,48.873
97,1193.26125454375,Entire home/apt,False,False,2,False,0,10,100,1,1.755,0.101,2.334,48.867
98,347.422872588312,Entire home/apt,False,False,2,False,0,10,100,1,2.088,0.227,2.328,48.866
99,346.490819274862,Private room,False,True,2,False,0,10,94,1,2.992,0.205,2.328,48.878
100,469.055829993475,Entire home/apt,False,False,4,False,1,9,89,1,0.612,0.243,2.357,48.861
101,382.141858514307,Entire home/apt,False,False,2,False,0,9,76,0,1.234,0.071,2.347,48.867
102,498.182496038773,Entire home/apt,False,False,4,False,1,8,90,1,0.988,0.204,2.34,48.854
103,397.287724857861,Entire home/apt,False,False,2,True,0,9,97,1,0.97,0.324,2.363,48.862
104,347.422872588312,Private room,False,True,2,True,1,10,96,1,1.946,0.154,2.335,48.869
105,416.860844440302,Entire home/apt,False,False,2,False,0,10,100,1,2.32,0.233,2.324,48.866
106,480.706496411594,Entire home/apt,False,False,4,False,0,9,81,1,1.274,0.192,2.354,48.868
107,613.990120234877,Entire home/apt,False,False,3,True,0,10,100,1,2.197,0.112,2.341,48.875
108,372.821325379811,Entire home/apt,False,False,2,True,0,10,98,1,1.048,0.229,2.339,48.854
109,275.654767452698,Entire home/apt,False,False,2,False,0,9,92,0,1.716,0.167,2.337,48.868
110,373.986392021623,Entire home/apt,False,False,2,False,0,9,80,0,1.21,0.322,2.343,48.865
111,373.986392021623,Entire home/apt,False,False,2,False,0,8,68,0,1.105,0.29,2.343,48.864
112,1051.82216422779,Entire home/apt,False,False,4,False,0,10,97,1,3.977,0.093,2.314,48.882
113,634.728306459129,Private room,False,True,4,False,0,8,100,1,4.088,0.236,2.314,48.883
114,346.490819274862,Private room,False,True,2,False,1,9,89,1,1.225,0.404,2.342,48.865
115,367.229005499114,Entire home/apt,False,False,4,False,0,8,74,0,0.805,0.487,2.36,48.862
116,1170.19293503588,Private room,False,True,2,False,0,6,73,1,1.714,0.07,2.335,48.866
117,622.14558672756,Entire home/apt,False,False,4,False,0,9,91,1,1.26,0.213,2.351,48.868
118,838.614968776214,Entire home/apt,False,False,4,True,0,10,98,2,1.033,0.384,2.339,48.856
119,277.984900736322,Entire home/apt,False,False,2,False,0,9,97,0,1.324,0.288,2.357,48.868
120,364.89887221549,Entire home/apt,False,False,2,False,0,9,82,0,3.566,0.148,2.308,48.87
121,413.365644514866,Entire home/apt,False,False,3,False,0,9,80,1,3.639,0.123,2.309,48.871
122,353.248205797371,Entire home/apt,False,False,2,False,0,8,93,0,3.692,0.14,2.308,48.872
