id,room_type,room_sharing,room_private,person_capacity,host_status,multi_listing,business_listing,cleanliness_rating,guest_satisfaction_rating,bedrooms,dist_city,dist_metro,attr_index,attr_index_norm,rest_index,rest_index_norm,longitude,latitude,price
0,Entire home/apt,False,False,5,False,0,1,9,89,1,1.351201218,0.21234554,390.7767745,19.00154904,1030.738507,47.5503707,2.359,48.868,536.3966819
1,Private room,False,True,2,True,0,0,10,97,1,0.699821242,0.193710312,518.4782704,25.21104355,1218.658866,56.21957507,2.35385,48.86282,290.1015938
2,Entire home/apt,False,False,4,False,0,1,10,100,1,0.968981736,0.29434293,432.6899421,21.03957986,1069.894793,49.35674149,2.36023,48.86375,445.7544972
3,Private room,False,True,2,False,0,0,10,94,1,3.302318645,0.234739713,444.5552841,21.61653297,902.8563701,41.65086956,2.31714,48.87475,211.3430888
4,Entire home/apt,False,False,2,True,0,0,9,88,1,1.40242978,0.055051931,747.1949090124999,36.35915317375,1348.063511,62.18931305,2.33408,48.85384,266.3342343
5,Entire home/apt,False,False,2,False,0,1,9,91,1,0.547570533,0.196005507,542.1393544,26.36156548,1199.17962,55.32095203,2.356,48.861,345.0927393
6,Entire home/apt,False,False,2,True,0,1,10,96,1,0.882416897,0.154328218,747.1949090124999,36.35915317375,1422.220073,65.61032817,2.342,48.853,387.0351384
7,Entire home/apt,False,False,4,False,0,0,7,82,1,1.197919857,0.103604592,406.9322275,19.78710911,1070.769545,49.39709583,2.35915,48.86648,247.9261814
8,Entire home/apt,False,False,4,True,0,0,10,93,1,1.543202895,0.549118407,747.1949090124999,36.35915317375,1095.87002,50.55503927,2.33201,48.85891,527.0761488
9,Private room,False,True,2,False,0,0,10,90,1,3.998175151,0.415837459,422.8955395,20.56332632,803.4337442,37.064272,2.3067,48.87582,193.6340759
10,Entire home/apt,False,False,2,False,0,0,10,95,1,1.425283941,0.207395358,374.3678824,18.20366547,1018.155514,46.9698879,2.36075,48.86825,207.1488489
11,Entire home/apt,False,False,2,False,0,1,9,94,0,1.77103036,0.210669502,623.1990891,30.30310096,1358.648204,62.67760961,2.33543,48.86767,345.0927393
12,Entire home/apt,False,False,2,False,0,1,9,89,0,1.326504787,0.164253907,479.0072979,23.29176464,1219.497282,56.25825316,2.3484,48.86815,263.7710877
13,Private room,False,True,2,False,0,0,10,97,1,1.073617391,0.139360254,487.3296787,23.69644102,1209.642402,55.80362453,2.3506,48.86612,242.7998882
14,Private room,False,True,2,False,1,0,10,90,1,1.550710333,0.187702514,475.0846361,23.10102493,1205.138735,55.5958599,2.34653,48.8699,382.1418585
15,Entire home/apt,False,False,2,False,0,0,9,87,1,1.692704376,0.177785008,599.8227065,29.16642266,1364.678854,62.95581755,2.33735,48.86791,372.8213254
16,Entire home/apt,False,False,2,False,0,0,10,96,1,0.823288131,0.239297187,494.1253058,24.02687888,1209.147201,55.78077975,2.3538,48.86394,484.2016963
17,Entire home/apt,False,False,4,False,0,1,9,80,1,1.242288219,0.069535572,506.9348489,24.64974384,1279.390418,59.02126317,2.34713,48.86711,435.5019107
18,Entire home/apt,False,False,4,False,0,0,10,93,1,3.250969228,0.220126828,542.4149451,26.37496609,953.6431144,43.99378049,2.31294,48.86943,509.8331625
19,Entire home/apt,False,False,2,False,0,0,9,94,0,1.090576485,0.193042896,745.5595107,36.25288535,1364.227721,62.93500574,2.34119,48.86274,318.2962065
20,Entire home/apt,False,False,2,False,0,0,9,89,1,1.006393824,0.326436078,747.1949090124999,36.35915317375,1408.6641,64.98495952,2.33927,48.85487,394.7245782
21,Private room,False,True,2,False,1,0,10,94,1,2.261277593,0.11183621,421.3494472,20.48814747,1123.713539,51.83952573,2.34349,48.87597,287.0724205
22,Private room,False,True,2,False,0,0,9,83,1,2.052144497,0.082251214,677.9480147,32.96527145,1008.818339,46.53914223,2.32478,48.85609,305.7134868
23,Entire home/apt,False,False,6,False,0,1,10,88,2,1.188616562,0.148960612,463.6365166,22.54435929,1138.06218,52.50146199,2.35136,48.86722,793.7599030000001
24,Entire home/apt,False,False,6,False,0,1,10,89,2,1.374388776,0.114567378,429.9756471,20.90759707,1147.955851,52.95788011,2.35289,48.86893,793.7599030000001
25,Entire home/apt,False,False,2,True,0,0,10,98,1,1.865736583,0.266650529,384.6859085,18.70538024,1042.675291,48.10104238,2.35258,48.87335,373.986392
26,Entire home/apt,False,False,2,False,0,1,9,91,1,1.27130547,0.196973094,477.822841,23.23417034,1190.694217,54.92950057,2.34905,48.86774,287.3054339
27,Entire home/apt,False,False,4,False,0,0,10,97,1,1.540128446,0.085451751,698.2417716,33.95205685,1418.434095,65.43567219,2.33218,48.85378,382.1418585
28,Entire home/apt,False,False,3,False,0,0,9,97,2,1.735088668,0.326871572,747.1949090124999,36.35915317375,1083.751817,49.99599829,2.32912,48.85732,426.4143909
29,Entire home/apt,False,False,4,False,0,0,9,95,0,0.321039921,0.312984948,747.1949090124999,36.35915317375,1181.983859,54.52767147,2.35327,48.8537,486.5318296
30,Entire home/apt,False,False,2,True,0,0,10,95,0,0.943180199,0.366733008,440.378939,21.41345789,1090.444392,50.3047424,2.36095,48.8631,169.633703
31,Entire home/apt,False,False,2,False,0,0,8,88,0,0.798818033,0.257349665,475.5592222,23.12410171,1144.296205,52.78905211,2.35667,48.86327,289.4025538
32,Entire home/apt,False,False,3,True,0,0,10,94,2,3.858843918,0.31754792,428.8424284,20.85249422,771.2169966,35.57803831,2.31215,48.87865,507.0370025
33,Entire home/apt,False,False,2,False,1,0,9,90,1,3.011451316,0.390173863,509.7982821,24.78897849,960.1882562,44.29572314,2.318,48.871,318.2962065
34,Private room,False,True,4,False,0,1,9,92,2,1.00904679,0.2349644,427.0802451,20.76680793,1069.813419,49.35298754,2.3599,48.86432,792.4783298
35,Entire home/apt,False,False,6,False,0,1,9,91,3,1.432813045,0.206174922,439.4873064,21.37010219,1112.347586,51.31518783,2.3511,48.86941,793.7599030000001
36,Entire home/apt,False,False,6,False,0,1,9,84,2,0.855187201,0.445577805,453.8380453,22.06790791,1069.242264,49.32663881,2.361,48.862,711.1566782
37,Private room,False,True,4,False,0,1,10,92,1,2.707759398,0.265060415,562.9163176,27.37184682,1015.806679,46.86153067,2.321,48.869,697.4088918
38,Private room,False,True,3,False,0,1,9,82,1,2.707752367,0.265039372,562.9146745,27.37176693,1015.813607,46.86185028,2.321,48.869,428.5115109
39,Entire home/apt,False,False,2,False,0,0,9,93,0,0.576083359,0.093051177,512.0525791,24.89859384,1115.599586,51.46521014,2.36003,48.85463,312.7038867
40,Entire home/apt,False,False,2,True,0,1,10,98,1,3.14520957,0.279117447,502.1242874,24.41582994,946.9448671,43.68477472,2.31622,48.87139,735.6230776
41,Entire home/apt,False,False,3,True,0,0,10,97,1,0.729766261,0.10622677,615.4416531,29.92589508,1359.281234,62.70681278,2.34744,48.86212,660.1267593
42,Entire home/apt,False,False,4,False,0,1,10,96,1,2.184924353,0.108844908,626.5597491,30.4665133,1257.177976,57.99655142,2.331,48.87,560.630068
43,Entire home/apt,False,False,2,False,1,0,9,90,1,1.470110305,0.105056147,424.3489574,20.63399887,1120.514163,51.69193106,2.35246,48.86979,291.7326871
44,Entire home/apt,False,False,4,False,0,0,9,87,2,1.905273433,0.127536943,513.0700347,24.94806769,1363.426759,62.8980555,2.34027,48.8716,465.5606301
45,Entire home/apt,False,False,4,False,0,1,10,96,1,2.184921706,0.10883536,626.5613433,30.46659082,1257.176921,57.99650273,2.331,48.87,560.630068
46,Private room,False,True,2,False,0,1,10,91,1,1.89255907,0.154399101,458.9041389,22.31424708,1297.026149,59.83484054,2.34478,48.87276,212.0421288
47,Entire home/apt,False,False,6,False,0,1,9,85,1,1.786488763,0.121794452,618.9948554,30.09866979,1074.075485,49.54960654,2.329,48.853,663.6219592
48,Private room,False,True,2,False,0,1,9,90,1,1.766668495,0.159447084,450.7840006,21.91940476,1215.789731,56.08721517,2.34647,48.87191,212.0421288
49,Entire home/apt,False,False,6,False,0,0,9,96,2,2.282466249,0.285041046,615.3689764,29.92236116,914.7708076,42.20051034,2.32167,48.85554,576.941001
50,Entire home/apt,False,False,4,False,0,0,9,95,1,2.09756128,0.161022271,619.8745453,30.14144478,1238.588655,57.1389827,2.33149,48.86919,474.8811632
51,Entire home/apt,False,False,5,False,0,1,9,95,1,1.189588962,0.13635791,459.4591287,22.3412335,1126.391194,51.96305221,2.35181,48.86725,559.4650014
52,Entire home/apt,False,False,6,False,0,1,10,95,2,1.164851168,0.195985019,479.6528856,23.3231564,1191.781258,54.97964832,2.35011,48.8669,793.7599030000001
53,Entire home/apt,False,False,5,False,0,1,9,90,1,1.285412567,0.194498033,439.7572632,21.38322886,1098.399158,50.67171433,2.35279,48.86813,571.1156678
54,Entire home/apt,False,False,5,False,0,1,9,93,1,1.096603923,0.098519744,477.4017097,23.2136928,1172.311125,54.08144567,2.35122,48.86638,527.0761488
55,Entire home/apt,False,False,4,False,0,1,9,91,1,2.588202129,0.167527586,510.9308645,24.84405039,1068.599777,49.29699939,2.33177,48.87529,546.6492683
56,Entire home/apt,False,False,2,False,0,0,10,100,1,1.000573768,0.294331198,424.1865189,20.62610028,1073.497928,49.52296252,2.36291,48.86257,434.3368441
57,Entire home/apt,False,False,2,True,0,0,10,93,1,0.871114894,0.052267148,747.1949090124999,36.35915317375,1349.113496,62.23775132,2.34484,48.85072,277.9849007
58,Private room,False,True,2,False,0,1,10,93,1,1.773941659,0.118731126,457.6298392,22.25228416,1276.18857,58.87355446,2.34589,48.87187,212.0421288
59,Private room,False,True,2,False,0,1,10,94,1,1.764402007,0.02259437,507.4705298,24.67579136,1325.603877,61.15319778,2.34468,48.87152,212.0421288
60,Private room,False,True,2,False,0,1,10,91,1,1.793739874,0.037147933,486.7627304,23.66887311,1386.553995,63.96496885,2.34426,48.8717,212.0421288
61,Entire home/apt,False,False,4,True,0,0,9,94,2,1.313472808,0.053907471,362.4157535,17.62249233,995.9832127,45.94702795,2.36585,48.86462,590.4557741
62,Private room,False,True,4,False,0,0,8,87,1,3.794671327,0.228924595,469.7663759,22.84242414,901.8642539,41.60510092,2.30765,48.8733,393.7925249
63,Private room,False,True,2,False,0,1,10,88,1,2.707771122,0.26506787,562.9140462,27.37173638,1015.800763,46.86125775,2.321,48.869,405.4431914
64,Entire home/apt,False,False,2,False,0,1,9,92,0,1.305290756,0.154346319,481.6730744,23.42138822,1297.005047,59.83386707,2.34838,48.86795,287.3054339
65,Entire home/apt,False,False,2,False,1,0,10,94,0,1.111599714,0.215691507,391.0086749,19.01282521,1012.857104,46.7254599,2.36512,48.86234,254.6835679
66,Entire home/apt,False,False,2,False,1,0,9,93,0,1.917719403,0.28444923,747.1949090124999,36.35915317375,1051.523866,48.50924781,2.32693,48.85929,596.5141206
67,Entire home/apt,False,False,5,False,0,1,9,96,2,3.275400716,0.252303674,531.5318209,25.84577339,955.4601761,44.07760578,2.313,48.87,793.7599030000001
68,Entire home/apt,False,False,6,False,0,1,10,96,1,1.724000004,0.15701704,523.0847309,25.43503303,1343.814854,61.99331261,2.341,48.87,606.7667071
69,Entire home/apt,False,False,4,False,1,0,8,85,1,2.81313326,0.188937733,492.8905364,23.96683813,1030.366232,47.53319679,2.32456,48.87373,399.3848448
70,Entire home/apt,False,False,2,False,0,1,10,100,1,2.515327309,0.154084192,515.7582305,25.07878141,1073.581452,49.52681568,2.33292,48.87503,230.2171684
71,Entire home/apt,False,False,2,False,0,1,10,90,1,2.544365496,0.095478288,492.885903,23.96661283,1058.008462,48.80839735,2.33332,48.87553,218.1004753
72,Entire home/apt,False,False,2,False,0,1,10,91,0,3.695368128,0.161437671,473.9282814,23.0447971,939.0378204,43.32000422,2.30921,48.8733,349.9860192
73,Entire home/apt,False,False,2,False,0,0,10,98,1,0.937264746,0.216926379,566.5484355,27.54845882,1372.611447,63.32176657,2.34745,48.86424,741.2153975
74,Entire home/apt,False,False,2,False,1,0,8,88,1,1.822281503,0.170086468,346.9451008,16.87023072,955.3659288,44.07325793,2.35967,48.87231,210.4110355
75,Private room,False,True,2,True,0,0,9,93,1,1.316522996,0.092823725,526.1359688,25.58339969,1260.012211,58.12730128,2.34516,48.8673,277.9849007
76,Entire home/apt,False,False,6,False,0,1,8,100,2,2.34195668,0.314195234,619.5319214,30.12478467,923.5486907,42.60545455,2.32083,48.85604,793.7599030000001
77,Entire home/apt,False,False,4,False,0,0,7,79,0,1.521260831,0.085007932,415.559469,20.20660936,1116.866287,51.52364604,2.35305,48.87025,266.3342343
78,Private room,False,True,4,False,0,1,10,92,2,1.301151409,0.091183913,365.8122128,17.78764541,1003.380485,46.28828135,2.36534,48.86481,793.7599030000001
79,Entire home/apt,False,False,4,False,0,0,9,95,2,1.94937493,0.186346932,702.5308175,34.16061202,1215.90697,56.09262367,2.3304,48.86606,741.4484108
80,Private room,False,True,2,False,0,1,9,86,1,1.381435224,0.102635383,747.1949090124999,36.35915317375,1277.930158,58.95389797,2.33724,48.86362,298.723087
81,Entire home/apt,False,False,6,False,0,1,9,87,2,1.456633844,0.089572902,425.0972966,20.67038692,1103.253429,50.89565316,2.35267,48.86967,695.0787585
82,Entire home/apt,False,False,2,False,0,1,9,89,1,0.936974484,0.378154859,442.0816996,21.49625475,1093.329584,50.43784303,2.361,48.863,287.3054339
83,Entire home/apt,False,False,6,False,0,1,9,92,1,1.451069668,0.14127725,429.9151114,20.90465351,1102.556873,50.8635194,2.35197,48.86961,793.7599030000001
84,Private room,False,True,3,False,0,1,9,93,1,1.89622244,0.21438827,441.0666699,21.44689885,1203.185304,55.50574357,2.34598,48.87303,302.2182869
85,Private room,False,True,2,False,0,1,9,92,0,1.964375463,0.265236929,627.5178209,30.51309961,1275.7812,58.8547615,2.33256,48.86818,793.7599030000001
86,Private room,False,True,2,False,0,1,10,87,1,2.114870821,0.233331384,623.465184,30.31603985,1230.086149,56.74674225,2.3306,48.86875,793.7599030000001
87,Private room,False,True,4,False,0,1,10,80,2,2.173122348,0.129187133,622.4086471,30.26466567,1261.633908,58.20211396,2.33091,48.86978,793.7599030000001
88,Entire home/apt,False,False,3,False,0,0,9,89,1,3.100672796,0.121853319,408.4347479,19.86016928,952.1392659,43.92440445,2.32855,48.87944,317.1311399
89,Entire home/apt,False,False,4,False,1,0,9,91,1,1.679904322,0.24595507,341.3565784,16.59848842,916.4837741,42.27953348,2.36405,48.86971,438.2980706
90,Entire home/apt,False,False,6,False,0,1,9,91,2,1.296698023,0.19622836,441.1054597,21.44878501,1101.932538,50.83471736,2.35246,48.86823,793.7599030000001
91,Entire home/apt,False,False,3,False,0,1,10,100,1,0.572409202,0.140870385,699.2032433,33.99880848,1336.733613,61.66663847,2.34626,48.85943,793.7599030000001
92,Entire home/apt,False,False,3,False,0,1,10,100,1,2.301333134,0.138841093,747.1949090124999,36.35915317375,1163.379079,53.6693896,2.33237,48.87231,706.7294249
93,Entire home/apt,False,False,2,False,0,0,9,89,1,0.475824798,0.037669431,742.0980546,36.08457179,1306.258917,60.26076964,2.34675,48.8582,369.3261255
