,Address,Postal_code,Arrondissement,Area,Price,Bedroom,Occupants,Floor,Elevator,Available_date,Description,Arrondissement_Name
0,Place de Clichy - Paris,75009,9,109,3800,3,6,2,0.0,07/18/2024,"This charming and very well situated 109 square meters, 3 Bedrooms, apartment is located on Place Adolphe Max in the 9th arrondissement of Paris, 200m from the Moulin Rouge, on the 2nd French floor of a 19th century building and it sleeps 6 people. On the street side, this apartment is not overlooked, and overlooks a pretty square. This apartment is equipped with : washer, dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, decoratives fireplaces.",Opéra
1,Auteuil - Paris,75016,16,63,2500,2,4,1,0.0,07/18/2024,"This comfortable and spacious 63 square meters , 2 Bedrooms, apartment is located on Villa Michel-Ange in the 16th arrondissement, on the 1 st French floor of a 20th century building and it sleeps 4 people. This apartment is equipped with : washer, dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi.",Passy
2,Gare de Lyon - Paris,75012,12,28,1351,1,2,4,0.0,07/18/2024,"This beautiful and cozy 28 square meters, studio, is located on rue de Charenton in the 12th arrondissement of Paris, on the 4th french floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, decorative fireplace.",Reuilly
3,Champs de Mars - Tour Eiffel - Paris,75007,7,50,3300,2,4,1,1.0,07/18/2024,"This bright and well located 50 square meters , 2 Bedrooms, apartment is located on rue de l Exposition in the 7th arrondissement, on the 1 st French floor building and it sleeps 4 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi.",Palais-Bourbon
4,Levallois-Perret,92300,92,67,2400,2,4,1,0.0,07/18/2024,"This beautiful and spacious 67 square meters , 2 Bedrooms, apartment is located on rue Louise Michel in Levallois-Perret, on the 1 st French floor building and it sleeps 4 people. This apartment is equipped with : washer, dishwasher, TV, cable, unlimited high speed internet access with the wifi.",Hauts-de-Seine
5,Parc Monceau - Paris,75008,8,25,1400,1,2,0,0.0,now,"This , Studio, apartment is located on rue Treilhard in the 8th arrondissement, on the ground floor building and it sleeps 2 people. This apartment is equipped with : cable, TV, unlimited high speed internet access with the wifi. There is a laundry behind the rue Treilhard, at the 17 rue de Lisbonne, 2 minutes by feet.",Élysée
6,Miromesnil - Paris,75008,8,30,2400,2,2,0,0.0,07/18/2024,"This charming and tastefully decorated 30 square meters , 2 Bedrooms, apartment is located on rue d Artois in the 8th arrondissement, on the ground floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer, dryer, cable, TV, unlimited high speed internet access with the wifi.",Élysée
7,Hôtel de Ville - Paris,75004,4,23,1500,1,2,6,0.0,07/18/2024,"This very well situated and comfortable 23 square meters , Studio, apartment is located on rue de Rivoli in the 4th arrondissement, on the 6 th French floor of a 19th century walk up building and it sleeps 2 people. This apartment is equipped with : Combo Washer-Dryer, Air Contionning , TV, cable, unlimited high speed internet access with the wifi.",Hôtel-de-Ville
8,Auteuil - Paris,75016,16,39,1600,1,2,3,1.0,07/18/2024,"This charming and well located 39 square meters , Studio, apartment is located on avenue de Versailles in the 16th arrondissement, on the 3 rd French floor building and it sleeps 2 people. This apartment is equipped with : washer, unlimited high speed internet access with the wifi, balcony.",Passy
9,Le Marais - Paris,75003,3,46,2000,1,2,1,0.0,07/18/2024,"This charming and cozy 46 square meters , 1 Bedroom, apartment is located on rue Volta in the 3rd arrondissement, on the 1 st French floor of a 15th century walk up building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, TV, unlimited high speed internet access with the wifi, decorative fireplace.",Temple
10,Oberkampf - Paris,75011,11,45,1849,1,2,6,1.0,now,"This charming and cozy 45 square meters, 1 Bedroom, apartment is located on rue Guillaume Bertrand in the 11th arrondissement of Paris, on the 6th French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, 2 balconies.",Popincourt
11,Saint-Germain-des-Prés - Paris,75006,6,25,1400,1,2,1,0.0,07/18/2024,"This atypical and very well situated 25 square meters, studio, is located on rue de Seine in the 6th arrondissement of Paris, on the 1st French floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : combo washer-dryer, cable, TV, unlimited high speed internet access with the wifi.",Luxembourg
12,Porte Maillot - Paris,75016,16,74,4000,2,4,4,1.0,07/18/2024,"This splendid and very well situated 74 square meters, 2 Bedrooms, apartment is located on rue Pergolese in the 16th arrondissement of Paris, on the 4th French floor of a 19th century building and it sleeps 4 people. This apartment is equipped with : combo washer-dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, balcony, decorative fireplace.",Passy
13,Levallois-Perret,92300,92,80,3249,2,4,3,0.0,07/18/2024,"This beautiful and spacious 79 square meters, 2 Bedrooms, apartment is located on rue Henri Barbusse in Levallois-Perret, on the 3rd French floor building and it sleeps 4 people. This apartment is equipped with : washer, dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, decorative fireplace.",Hauts-de-Seine
14,République - Paris,75003,3,43,2100,1,2,4,0.0,08-01-2024,"This charming and very well situated 43 square meters, alcove studio, is located on rue Saint-Martin in the 3rd arrondissement of Paris, on the 4 th French floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, unlimited high speed internet access with the wifi.",Temple
15,Champs-Élysées - Paris,75008,8,93,4000,1,2,4,1.0,08-01-2024,"This very well situated and spacious 93 square meters , 1 Bedroom and an office, apartment is located on Rue du Faubourg Saint-Honoré in the 8th arrondissement, on the 4 th French floor of a 19th century building and it sleeps 4 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, decorative fireplace, air purifier.",Élysée
16,Jules Joffrin - Paris,75018,18,39,1700,1,2,1,1.0,07/18/2024,"This charming and bright 39 square meters , 1 Bedroom, apartment is located on rue Eugene Sue in the 18th arrondissement, on the 1 st French floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : Combo Washer-Dryer, dishwasher, unlimited high speed internet access with the wifi, TV.",Butte-Montmartre
