 Price/Rent (Euros) ;Zip code;Arrondissement;Area (m²);Rooms;Bedrooms;Bathroom;Type (Rental/Housing)
589,999;;;39;3;1;1;Rental
585,000;75004;4;41;2;1;1;Rental
560,000;;;28;5;1;2;Rental
560,000;;;28;5;1;2;Rental
548,999;;;40;5;1;2;Rental
530,000;;;40;5;1;2;Rental
329,000;;;21;1;3;1;Rental
15,099,999;75016;16;433;10;4;4;Rental
12,599,999;;;358;5;5;5;Rental
12,599,999;75016;16;265;5;4;3;Rental
10,499,999;75007;7;317;9;2;2;Rental
9,979,999;;;327;7;3;3;Rental
8,899,999;75016;16;269;6;4;2;Rental
8,499,999;;;346;5;4;8;Rental
8,499,999;75008;8;356;10;5;5;Rental
7,900,000;;;220;5;2;5;Rental
7,900,000;;;194;5;5;8;Rental
7,850,000;;;205;5;3;7;Rental
7,592,000;75007;7;188;5;3;6;Rental
7,399,999;;;293;8;4;9;Rental
7,279,999;75016;16;267;7;4;3;Rental
7,099,999;75016;16;243;6;3;3;Rental
6,980,000;75007;7;270;8;5;6;Rental
6,499,999;;;171;5;2;8;Rental
6,299,999;;;284;9;5;2;Rental
6,249,999;;;178;5;3;3;Rental
6,199,999;75016;16;247;5;3;3;Rental
6,199,999;75016;16;260;5;3;7;Rental
5,899,999;;;208;5;2;5;Rental
5,879,999;;;285;9;6;6;Rental
5,750,000;75017;17;396;9;6;4;Rental
5,750,000;;;165;5;2;5;Rental
5,489,999;75005;5;252;7;5;5;Rental
2,582,908;;;163;6;3;4;Rental
4,950,000;;;158;5;3;3;Rental
4,948,000;75008;8;158;6;3;5;Rental
4,725,000;75016;16;284;5;3;2;Rental
4,700,000;;;213;5;4;3;Rental
4,580,000;75016;16;277;8;5;4;Rental
4,499,999;75016;16;145;5;3;4;Rental
4,400,000;75008;8;200;5;2;3;Rental
4,299,999;;;234;6;3;3;Rental
4,299,999;75006;6;137;5;2;4;Rental
4,199,999;75001;1;306;5;3;6;Rental
3,990,000;;;238;5;3;4;Rental
3,980,000;75014;14;376;10;5;2;Rental
3,949,999;75016;16;249;5;4;6;Rental
3,899,999;;;284;9;6;7;Rental
3,890,000;;;197;5;2;3;Rental
3,800,000;75008;8;200;5;2;3;Rental
3,780,000;75017;17;299;10;3;2;Rental
3,750,000;75016;16;224;6;3;5;Rental
3,640,000;;;140;5;3;4;Rental
3,624,999;;;365;5;6;6;Rental
3,599,999;75017;17;275;9;7;8;Rental
3,520,000;75006;6;143;4;2;2;Rental
3,500,000;75016;16;179;6;2;5;Rental
3,390,000;;;114;5;2;4;Rental
3,365,000;75008;8;100;4;2;3;Rental
3,349,999;;;220;6;4;4;Rental
3,300,000;75008;8;190;6;3;3;Rental
3,290,000;;;257;5;4;6;Rental
3,189,999;75016;16;287;5;6;4;Rental
3,119,999;;;176;5;3;4;Rental
3,099,999;75016;16;229;5;3;4;Rental
3,000,000;75016;16;217;6;3;4;Rental
3,000,000;75016;16;218;8;3;4;Rental
2,990,000;75007;7;124;5;4;2;Rental
2,970,000;75008;8;154;5;3;4;Rental
2,950,000;75016;16;216;8;3;4;Rental
2,950,000;;;208;4;3;3;Rental
2,889,999;75016;16;182;6;3;4;Rental
2,790,000;75008;8;148;5;3;4;Rental
2,700,000;;;126;5;2;3;Rental
2,689,999;75016;16;177;5;3;3;Rental
2,652,000;;;216;5;4;2;Rental
2,625,000;;;84;2;1;2;Rental
2,600,000;75005;5;93;5;1;2;Rental
2,519,999;75005;5;97;4;2;3;Rental
2,514,000;;;122;5;1;4;Rental
2,499,999;;;135;5;4;4;Rental
2,495,999;;;146;5;3;3;Rental
2,495,000;75001;1;117;4;2;2;Rental
2,484,000;;;168;6;1;4;Rental
2,479,999;75016;16;172;6;4;6;Rental
2,459,999;;;173;6;4;3;Rental
2,389,999;75016;16;172;6;4;6;Rental
2,380,000;75007;7;75;5;2;4;Rental
2,350,000;;;154;5;3;6;Rental
2,350,000;75005;5;160;5;4;3;Rental
2,300,000;75017;17;169;5;4;4;Rental
2,280,000;75016;16;86;3;1;2;Rental
2,269,999;;;103;4;2;4;Rental
2,249,999;75007;7;128;6;4;2;Rental
2,249,999;;;176;5;4;4;Rental
2,240,000;;;152;5;3;5;Rental
2,190,000;75018;18;87;5;2;3;Rental
2,190,000;75007;7;123;5;3;2;Rental
2,190,000;75008;8;148;5;4;2;Rental
2,179,999;;;173;6;4;3;Rental
2,154,999;;;154;5;3;5;Rental
2,140,000;75016;16;194;6;4;4;Rental
2,100,000;75016;16;225;5;4;3;Rental
2,080,000;75004;4;101;4;2;1;Rental
2,050,000;75016;16;159;6;3;3;Rental
1,999,999;75011;11;188;5;4;4;Rental
1,989,999;;;145;5;2;4;Rental
1,989,999;;;146;5;3;3;Rental
1,989,999;;;100;4;2;4;Rental
1,989,999;;;108;4;2;4;Rental
1,989,999;75018;18;87;3;2;3;Rental
1,989,999;;;130;5;3;3;Rental
1,974,999;75016;16;136;5;3;4;Rental
1,969,999;75005;5;142;4;2;2;Rental
1,969,999;75011;11;168;4;3;4;Rental
1,920,000;;;89;5;2;2;Rental
1,899,999;;;114;8;5;2;Rental
1,895,000;75009;9;145;4;3;2;Rental
1,890,000;;;72;2;1;2;Rental
1,890,000;;;150;5;5;3;Rental
1,879,999;75009;9;96;5;1;2;Rental
1,874,999;75015;15;136;5;3;4;Rental
1,872,000;75007;7;89;5;2;4;Rental
1,850,000;;;102;5;2;4;Rental
1,800,000;75016;16;159;7;5;4;Rental
1,798,000;75019;19;247;5;3;7;Rental
1,789,999;75008;8;84;3;2;3;Rental
1,750,000;75016;16;113;3;2;2;Rental
1,750,000;75020;20;237;5;2;4;Rental
1,750,000;75008;8;55;2;1;2;Rental
1,739,999;75016;16;120;4;3;3;Rental
1,735,000;75016;16;133;5;3;4;Rental
1,694,999;75015;15;134;5;3;4;Rental
1,690,000;75016;16;136;5;2;3;Rental
1,680,000;;;79;3;2;2;Rental
1,669,999;75012;12;140;4;2;3;Rental
1,665,000;;;101;5;2;4;Rental
1,649,999;;;73;3;2;2;Rental
1,649,999;;;135;5;3;2;Rental
1,644,999;75016;16;148;5;3;5;Rental
1,620,000;75008;8;96;3;2;2;Rental
1,599,999;;;90;4;2;2;Rental
1,599,999;;;125;5;3;2;Rental
1,599,999;75009;9;123;4;3;3;Rental
1,598,999;;;84;3;2;1;Rental
1,590,000;75006;6;96;5;3;2;Rental
1,579,999;75008;8;129;5;3;3;Rental
1,550,000;75009;9;106;5;1;2;Rental
1,529,999;75003;3;127;5;3;2;Rental
1,520,000;75016;16;168;7;4;5;Rental
1,520,000;75002;2;102;5;3;2;Rental
1,495,000;;;128;3;1;2;Rental
1,489,999;75017;17;141;6;4;3;Rental
1,489,999;75016;16;124;5;3;3;Rental
1,480,000;;;103;5;2;2;Rental
1,480,000;75006;6;77;5;3;2;Rental
1,469,999;75018;18;71;4;2;1;Rental
1,469,999;;;94;3;2;3;Rental
1,450,000;;;98;5;2;2;Rental
1,450,000;75015;15;130;5;3;2;Rental
1,390,000;;;88;5;2;2;Rental
1,390,000;75004;4;125;5;4;2;Rental
1,390,000;75001;1;106;5;4;3;Rental
1,390,000;75007;7;91;5;2;2;Rental
1,390,000;75016;16;150;6;4;5;Rental
1,380,000;75016;16;83;4;1;2;Rental
1,374,999;;;117;5;2;2;Rental
1,360,000;;;56;5;2;2;Rental
1,360,000;;;56;5;1;2;Rental
1,354,999;;;127;5;2;3;Rental
1,349,999;;;43;2;1;2;Rental
1,349,999;;;50;5;1;1;Rental
1,348,999;;;76;4;2;3;Rental
1,299,999;;;74;3;2;2;Rental
1,295,000;;;65;5;1;2;Rental
1,290,000;75007;7;73;5;2;2;Rental
1,290,000;75016;16;60;2;1;2;Rental
1,290,000;75002;2;100;5;3;3;Rental
1,270,000;75009;9;100;5;2;4;Rental
1,259,999;75007;7;49;2;1;2;Rental
1,250,000;75016;16;106;5;3;1;Rental
1,234,999;75006;6;95;5;2;1;Rental
1,234,999;;;94;5;2;3;Rental
1,200,000;;;76;3;1;2;Rental
1,200,000;75012;12;128;5;3;4;Rental
1,189,999;75016;16;78;5;1;2;Rental
1,189,999;;;47;2;1;2;Rental
1,189,999;75016;16;78;5;1;2;Rental
1,165,999;75016;16;89;5;2;3;Rental
1,150,000;75016;16;98;4;2;2;Rental
1,150,000;75011;11;87;5;2;3;Rental
1,150,000;;;61;3;2;3;Rental
1,139,999;75006;6;63;5;2;2;Rental
1,119,999;75006;6;61;5;1;2;Rental
1,105,000;;;81;4;2;2;Rental
1,099,999;;;74;3;2;2;Rental
1,090,000;75018;18;92;5;3;2;Rental
1,060,000;75016;16;60;2;1;3;Rental
1,045,000;;;98;5;3;2;Rental
1,000,000;;;56;5;1;2;Rental
995,000;;;104;5;3;3;Rental
990,000;;;64;3;2;2;Rental
979,999;;;61;5;1;2;Rental
959,999;;;72;5;3;4;Rental
950,000;;;74;4;3;2;Rental
945,000;75008;8;57;2;1;2;Rental
930,000;;;61;3;2;2;Rental
914,999;75009;9;63;5;2;3;Rental
900,000;;;90;5;2;1;Rental
899,000;75014;14;83;5;2;2;Rental
899,000;75011;11;63;5;1;2;Rental
885,000;;;64;5;2;2;Rental
885,000;75015;15;39;1;1;1;Rental
880,000;;;59;4;2;1;Rental
874,000;;;57;5;1;2;Rental
849,999;;;89;5;2;2;Rental
839,999;75018;18;245;3;2;2;Rental
799,999;75018;18;83;4;2;2;Rental
799,999;75017;17;66;3;1;2;Rental
779,999;;;63;3;2;1;Rental
779,999;75016;16;69;3;2;3;Rental
778,999;;;51;2;1;1;Rental
749,999;;;67;3;2;1;Rental
749,999;75002;2;31;2;1;1;Rental
749,999;75004;4;54;3;1;2;Rental
748,999;;;71;3;2;2;Rental
745,000;75005;5;50;2;1;2;Rental
740,000;75016;16;62;2;1;1;Rental
734,999;;;42;5;1;1;Rental
720,000;;;71;3;1;1;Rental
695,000;75003;3;54;1;3;1;Rental
659,999;75018;18;48;5;1;1;Rental
645,000;;;54;3;1;1;Rental
645,000;;;54;3;1;1;Rental
589,999;;;54;5;2;1;Rental
585,000;75004;4;41;2;1;1;Rental
560,000;;;28;5;1;2;Rental
560,000;;;28;5;1;2;Rental
548,999;;;40;5;1;2;Rental
530,000;;;40;5;1;2;Rental
329,000;;;21;1;3;1;Rental
690,000;75016;16;54;5;1;1;Rental
690,000;75008;8;39;5;1;1;Rental
690,000;75001;1;33;5;1;1;Rental
695,000;75016;16;49;5;1;1;Rental
720,000;75007;7;47;5;2;1;Rental
724,999;75007;7;48;5;1;1;Rental
729,999;75014;14;60;5;1;0;Rental
745,000;75005;5;51;5;1;1;Rental
760,000;75007;7;51;5;1;1;Rental
790,000;75016;16;66;5;2;1;Rental
790,000;75006;6;53;5;1;1;Rental
797,999;75015;15;47;5;2;1;Rental
810,000;75015;15;72;5;2;1;Rental
824,999;75016;16;51;5;1;1;Rental
824,999;75006;6;50;5;1;1;Rental
826,999;75006;6;31;5;1;1;Rental
830,000;75017;17;67;5;2;1;Rental
836,000;75006;6;43;5;1;1;Rental
844,999;75006;6;43;5;1;1;Rental
849,999;75016;16;73;5;2;1;Rental
849,999;75018;18;62;5;2;1;Rental
864,999;75007;7;63;5;1;1;Rental
869,999;75007;7;77;5;1;1;Rental
869,999;75012;12;92;5;1;1;Rental
875,000;75006;6;44;5;1;1;Rental
880,000;75009;9;66;5;2;1;Rental
889,999;75009;9;67;5;2;1;Rental
892,500;75006;6;45;5;1;1;Rental
892,999;75004;4;62;5;1;1;Rental
894,999;75004;4;59;5;2;1;Rental
914,999;75009;9;67;5;2;1;Rental
928,000;75016;16;86;5;2;1;Rental
930,000;75017;17;73;5;3;2;Rental
939,999;75006;6;60;5;1;1;Rental
945,000;75020;20;74;5;2;1;Rental
945,000;75016;16;89;5;3;2;Rental
945,000;75016;16;89;5;2;1;Rental
950,000;75016;16;73;5;3;1;Rental
950,000;75006;6;50;5;1;1;Rental
950,000;75017;17;77;5;2;1;Rental
950,000;75016;16;53;5;1;1;Rental
970,000;75009;9;76;5;2;1;Rental
979,999;75015;15;97;5;2;1;Rental
979,999;75016;16;73;5;2;0;Rental
979,999;75007;7;48;5;1;1;Rental
990,000;75004;4;62;5;1;1;Rental
990,000;75016;16;99;5;3;2;Rental
990,000;75009;9;88;5;2;1;Rental
995,000;75017;17;69;5;1;1;Rental
995,000;75001;1;68;5;2;2;Rental
997,000;75001;1;65;5;1;1;Rental
997,499;75007;7;45;5;1;1;Rental
1,000,000;75007;7;56;5;1;1;Rental
1,007,999;75003;3;64;5;1;1;Rental
1,020,000;75004;4;73;5;2;3;Rental
1,020,000;75018;18;76;5;2;1;Rental
1,024,999;75005;5;77;5;2;2;Rental
1,035,000;75005;5;62;5;2;0;Rental
1,040,000;75016;16;78;5;1;1;Rental
1,049,999;75013;13;93;5;2;1;Rental
1,049,999;75004;4;72;5;1;1;Rental
