Price/Rent (Euros),Bathroom,Type (Rental/Housing),Rooms,Bedrooms,Area (m²),Arrondissement,ZipCode
3250000,2,Housing,8,2,188.52,16,75016
3500000,2,Housing,8,2,233.0,6,75006
3360000,2,Housing,5,2,152.23,7,75007
2400000,2,Housing,5,2,151.55,14,75014
2850000,3,Housing,5,3,130.0,7,75007
2050000,2,Housing,5,2,165.0,8,75008
350000,2,Housing,1,2,95.0,16,75016
1290000,2,Housing,4,2,77.0,16,75016
1999000,3,Housing,5,3,146.0,16,75016
1500000,3,Housing,6,3,92.0,6,75006
2900000,2,Housing,5,2,180.0,6,75006
1550000,1,Housing,2,1,65.0,8,75008
1400000,0,Housing,5,0,118.0,16,75016
1895000,4,Housing,7,4,154.0,16,75016
1290000,1,Housing,3,1,48.0,6,75006
2200000,3,Housing,3,3,80.0,6,75006
900000,1,Housing,1,1,68.0,6,75006
2248000,2,Housing,5,2,151.0,6,75006
3150000,3,Housing,4,3,126.0,3,75003
1270000,2,Housing,3,2,124.22,16,75016
2600000,4,Housing,5,4,133.0,5,75005
470000,1,Housing,2,1,35.74,7,75007
2080000,2,Housing,3,2,95.23,7,75007
280000,1,Housing,1,1,21.34,8,75008
2200000,3,Housing,4,3,106.75,16,75016
3150000,3,Housing,5,3,127.0,7,75007
2200000,2,Housing,3,2,97.0,16,75016
600000,3,Housing,2,3,60.0,16,75016
2392000,1,Housing,3,1,89.46,6,75006
3200000,3,Housing,6,3,183.0,6,75006
2250000,2,Housing,3,2,104.0,8,75008
697500,0,Housing,2,0,44.8,8,75008
1200000,2,Housing,3,2,60.0,6,75006
2450000,2,Housing,5,2,127.0,6,75006
2060000,4,Housing,6,4,156.02,17,75017
2950000,1,Housing,6,1,154.0,16,75016
1850000,3,Housing,5,3,116.88,16,75016
895000,2,Housing,4,2,73.2,15,75015
549000,1,Housing,2,1,34.7,5,75005
1980000,2,Housing,4,2,110.0,15,75015
1650000,2,Housing,4,2,85.0,16,75016
690000,1,Housing,2,1,33.01,7,75007
695000,2,Housing,2,2,41.0,16,75016
1500000,3,Housing,4,3,120.0,14,75014
1350000,1,Housing,4,1,88.0,6,75006
2100000,1,Housing,4,1,102.44,6,75006
1390000,2,Housing,4,2,96.05,16,75016
3350000,3,Housing,5,3,144.99,17,75017
1500000,3,Housing,4,3,88.23,6,75006
590000,0,Housing,2,0,41.58,6,75006
1030000,1,Housing,2,1,56.41,8,75008
2485000,3,Housing,5,3,145.38,7,75007
2690000,2,Housing,8,2,200.0,9,75009
2250000,4,Housing,5,4,135.0,7,75007
2080000,1,Housing,5,1,145.0,16,75016
525000,0,Housing,2,0,34.35,16,75016
3300000,2,Housing,5,2,121.18,8,75008
2146,2,Rental,2,2,50.0,4,75004
8865,3,Rental,3,3,106.0,16,75016
1860,1,Rental,2,1,50.0,3,75003
1850,1,Rental,2,1,47.63,16,75016
1800,2,Rental,2,2,46.3,17,75017
2999,2,Rental,3,2,93.0,16,75016
3500,2,Rental,3,2,69.44,7,75007
2000,2,Rental,2,2,33.68,7,75007
2380,2,Rental,3,2,70.0,17,75017
3900,3,Rental,5,3,125.67,17,75017
3845,2,Rental,4,2,82.5,17,75017
4577,3,Rental,5,3,139.0,16,75016
15000,6,Rental,8,6,272.33,7,75007
1900,1,Rental,2,1,58.0,20,75020
1500,1,Rental,2,1,28.0,2,75002
1704,2,Rental,3,2,51.0,9,75009
2800,2,Rental,3,2,66.6,4,75004
3000,2,Rental,3,2,92.0,19,75019
2250,1,Rental,2,1,45.06,6,75006
1740,1,Rental,2,1,39.37,2,75002
4250,3,Rental,4,3,103.1,6,75006
2750,3,Rental,4,3,66.85,7,75007
1750,2,Rental,2,2,38.0,17,75017
2495,2,Rental,4,2,65.8,18,75018
1343,1,Rental,1,1,24.56,2,75002
1210,1,Rental,1,1,27.38,5,75005
11500,5,Rental,7,5,232.01,16,75016
2000,1,Rental,2,1,52.0,16,75016
1341,2,Rental,2,2,40.68,13,75013
3780,6,Rental,5,6,88.67,17,75017
