,Address,Postal_code,Arrondissement,Area,Price,Bedroom,Occupants,Floor,Elevator,Available_date,
0,Place de Clichy - Paris,75009,9,109,3800,3,6,2,0,07/18/2024,
1,Auteuil - Paris,75016,16,63,2500,2,4,1,0,07/18/2024,
2,Gare de Lyon - Paris,75012,12,28,1351,1,2,4,0,07/18/2024,
3,Champs de Mars - Tour Eiffel - Paris,75007,7,50,3300,2,4,1,1,07/18/2024,
4,Levallois-Perret,92300,92,67,2400,2,4,1,0,07/18/2024,
5,Parc Monceau - Paris,75008,8,25,1400,1,2,0,0,now,
6,Miromesnil - Paris,75008,8,30,2400,2,2,0,0,07/18/2024,
7,Hôtel de Ville - Paris,75004,4,23,1500,1,2,6,0,07/18/2024,
8,Auteuil - Paris,75016,16,39,1600,1,2,3,1,07/18/2024,
9,Le Marais - Paris,75003,3,46,2000,1,2,1,0,07/18/2024,
10,Oberkampf - Paris,75011,11,45,1849,1,2,6,1,now,
11,Saint-Germain-des-Prés - Paris,75006,6,25,1400,1,2,1,0,07/18/2024,
12,Porte Maillot - Paris,75016,16,74,4000,2,4,4,1,07/18/2024,
13,Levallois-Perret,92300,92,80,3249,2,4,3,0,07/18/2024,
14,République - Paris,75003,3,43,2100,1,2,4,0,08-01-2024,
15,Champs-Élysées - Paris,75008,8,93,4000,1,2,4,1,08-01-2024,
16,Jules Joffrin - Paris,75018,18,39,1700,1,2,1,1,07/18/2024,
17,Porte Maillot - Neuilly-sur-Seine,92200,92,17,1100,1,2,7,0,07/18/2024,
18,Saint-Germain-des-Prés - Paris,75006,6,30,1651,1,2,0,0,09-06-2024,
19,Le Marais - Paris,75003,3,78,3700,2,4,3,1,07/18/2024,
20,Voltaire - Paris,75011,11,32,1673,1,2,3,0,now,
21,Passy - Paris,75016,16,55,2900,2,4,1,1,now,
22,Nation - Paris,75020,20,30,1451,1,2,4,0,07/18/2024,
23,Neuilly sur Seine - Neuilly-sur-Seine,92200,92,34,1700,1,2,5,1,now,
24,Saint-Germain-des-Prés - Paris,75006,6,38,1900,1,2,0,0,now,
25,Louvre - Paris,75001,1,29,1700,1,2,2,1,07/18/2024,
26,Exelmans - Paris,75016,16,75,2651,2,4,1,1,07/18/2024,
27,Montmartre - Sacré Coeur - Paris,75018,18,39,1851,1,2,4,1,now,
28,Bastille - Paris,75011,11,33,1526,1,2,1,0,07/18/2024,
29,Arc de Triomphe - Paris,75008,8,14,1190,1,1,8,1,08/13/2024,
30,Le Marais - Paris,75004,4,33,1680,1,2,3,0,now,
31,Place de Clichy - Paris,75017,17,27,1296,1,2,3,0,07/18/2024,
