rooms,accomodation_size,area,arrondissement,rent
1,2,26.0, 1st Arrondissement,1950.0
3,4,73.0, 1st Arrondissement,2850.0
1,2,37.0, 1st Arrondissement,2031.0
2,3,40.0, 1st Arrondissement,3666.0
1,2,50.0, 1st Arrondissement,3300.0
2,2,23.0, 1st Arrondissement,1380.0
1,2,31.0, 1st Arrondissement,1848.0
3,4,48.0, 1st Arrondissement,3259.0
1,2,32.0, 1st Arrondissement,1848.0
2,2,50.0, 1st Arrondissement,3667.0
2,4,70.0, 1st Arrondissement,4800.0
2,2,40.0, 1st Arrondissement,1990.0
2,4,50.0, 1st Arrondissement,2960.0
2,2,72.0, 1st Arrondissement,4320.0
1,2,25.0, 1st Arrondissement,2215.0
2,4,52.0, 1st Arrondissement,5400.0
1,2,30.0, 1st Arrondissement,2301.0
2,3,60.0, 1st Arrondissement,3350.0
3,4,55.0, 1st Arrondissement,3086.0
1,2,18.0, 1st Arrondissement,1833.0
1,2,26.0, 1st Arrondissement,2444.0
3,4,55.0, 1st Arrondissement,4222.0
1,2,18.0, 1st Arrondissement,2000.0
3,5,95.0, 1st Arrondissement,4500.0
1,1,9.0, 1st Arrondissement,1589.0
1,2,35.0, 1st Arrondissement,2278.0
1,2,18.0, 1st Arrondissement,1946.0
1,2,15.0, 1st Arrondissement,2000.0
2,2,56.0, 1st Arrondissement,3524.0
1,2,28.0, 1st Arrondissement,1950.0
1,1,19.0, 1st Arrondissement,1400.0
2,2,95.0, 1st Arrondissement,5413.0
1,2,34.0, 1st Arrondissement,2910.0
2,2,61.0, 1st Arrondissement,2500.0
3,6,120.0, 1st Arrondissement,18000.0
2,2,18.0, 1st Arrondissement,2400.0
1,3,80.0, 1st Arrondissement,4000.0
2,4,58.0, 1st Arrondissement,6000.0
2,2,40.0, 1st Arrondissement,4092.0
3,4,55.0, 1st Arrondissement,6600.0
2,4,105.0, 1st Arrondissement,14800.0
2,4,65.0, 1st Arrondissement,15000.0
1,2,26.0, 2nd Arrondissement,1950.0
1,2,37.0, 2nd Arrondissement,2031.0
2,3,40.0, 2nd Arrondissement,3666.0
1,2,50.0, 2nd Arrondissement,3300.0
3,4,92.0, 2nd Arrondissement,3580.0
1,2,23.0, 2nd Arrondissement,2167.0
3,4,48.0, 2nd Arrondissement,3259.0
1,2,32.0, 2nd Arrondissement,1848.0
2,4,70.0, 2nd Arrondissement,4800.0
2,2,40.0, 2nd Arrondissement,1990.0
2,2,72.0, 2nd Arrondissement,4320.0
