Address,District/Arrondissement,Zipcode,Rent,Cost,Maintenance,Number of rooms,Size,Property Type,"Co-Living (1=Yes, 0=No)","Are Pets Allowed (1=Yes, 0=No)",Lease Duration (Months),Latitude,Longitude
65 Rue de Rivoli,1,7504,1831,788335,123,1,1492,Apartment,0,1,6,48.825778,2.313958
178 Rue de la République,16,7509,7687,2762283,121,1,816,Villa,0,1,13,48.863504,2.294148
129 Avenue Montaigne,9,7504,1111,356270,99,2,1949,Villa,0,0,11,48.87434,2.346008
196 Rue Saint-Honoré,12,7515,4263,3408001,153,3,1454,Villa,1,1,6,48.880012,2.44267
112 Rue de la Paix,18,7516,1714,131036,79,3,1713,Villa,0,0,5,48.870575,2.437243
146 Avenue des Champs-Élysées,2,7517,7860,2599123,119,3,1777,Villa,1,1,17,48.889849,2.395554
121 Avenue des Champs-Élysées,14,7505,5158,4728344,121,1,820,Villa,0,0,16,48.828991,2.382038
188 Rue de Vaugirard,11,7507,3934,3685137,186,4,480,Villa,1,0,7,48.894214,2.276633
104 Avenue Montaigne,11,7514,2013,3780261,92,4,898,Apartment,0,0,9,48.843226,2.368411
124 Avenue Montaigne,5,7502,4879,4572843,75,2,409,Duplex,1,0,9,48.839506,2.442728
35 Avenue des Champs-Élysées,10,7504,7338,1142840,120,4,758,Apartment,1,0,35,48.852185,2.314549
10 Rue de Vaugirard,11,7504,2496,1927150,45,2,1025,Apartment,1,1,14,48.848271,2.427376
29 Rue de la Paix,16,7513,1470,4708942,63,4,394,Villa,1,1,35,48.880329,2.268935
194 Rue Saint-Honoré,5,7507,4330,4651981,51,2,314,Apartment,0,1,27,48.841049,2.371935
157 Avenue Montaigne,7,7502,4309,3967217,75,3,1323,Duplex,0,1,3,48.813891,2.288927
79 Avenue Montaigne,3,7509,3125,4070917,139,5,1881,Duplex,0,1,3,48.876589,2.287641
128 Avenue des Champs-Élysées,3,7503,4146,1977325,142,5,1772,Apartment,0,0,8,48.830854,2.269715
140 Rue de la Paix,12,7516,7200,3741591,190,5,395,Duplex,0,0,19,48.894862,2.433673
82 Boulevard Haussmann,1,7509,9124,1824993,148,4,1614,Villa,1,1,19,48.812549,2.318217
51 Rue du Faubourg Saint-Honoré,19,7508,2113,2007887,120,5,1827,Duplex,1,1,8,48.836171,2.270282
9 Boulevard Saint-Germain,18,7503,5646,3866764,36,1,1805,Apartment,1,1,22,48.838821,2.422357
7 Avenue Montaigne,17,7504,2340,4537282,125,4,1246,Duplex,1,0,9,48.89353,2.296688
96 Avenue des Champs-Élysées,20,7520,4546,2170350,137,5,587,Duplex,1,0,3,48.859827,2.319838
192 Rue de Rivoli,17,7519,9822,4519759,32,4,1739,Apartment,1,1,18,48.867852,2.268105
3 Rue Saint-Honoré,11,7519,6543,212809,58,5,1242,Villa,0,0,4,48.815831,2.30745
32 Boulevard Saint-Germain,7,7503,3456,3728583,193,4,1807,Duplex,1,0,13,48.879473,2.387257
67 Boulevard Saint-Germain,19,7513,5321,1789225,37,2,1775,Apartment,1,1,32,48.871116,2.252814
50 Rue de Vaugirard,1,7504,1972,776019,32,3,815,Apartment,1,0,22,48.852829,2.309197
169 Rue de Vaugirard,8,7515,9160,4008999,173,5,680,Apartment,0,0,18,48.854802,2.267455
116 Boulevard Saint-Germain,2,7507,5036,3607337,92,1,1797,Duplex,0,0,23,48.82863,2.423005
107 Rue de Rivoli,5,7506,1291,1949751,92,5,350,Villa,0,1,8,48.867259,2.381726
29 Rue de Vaugirard,11,7508,4589,3586392,110,3,542,Villa,1,1,1,48.877163,2.330264
56 Boulevard Saint-Germain,19,7516,8836,2920940,190,1,1709,Villa,1,0,20,48.866532,2.344094
