Year,Families (N.),Arrondissement
2014,"47,549",10e
2014,"85,671",11e
2014,"74,741",12e
2014,"89,280",13e
2014,"71,715",14e
2014,"125,546",15e
2014,"82,895",16e
2014,"89,264",17e
2014,"105,395",18e
2014,"84,313",19e
2014,"9,802",1er
2014,"96,648",20e
2014,"12,409",2e
2014,"20,360",3e
2014,"15,562",4e
2014,"33,339",5e
2014,"23,503",6e
2014,"29,508",7e
2014,"18,563",8e
2014,"31,757",9e
2015,"47,454",10e
2015,"85,184",11e
2015,"73,441",12e
2015,"90,219",13e
2015,"71,243",14e
2015,"125,302",15e
2015,"82,901",16e
2015,"88,750",17e
2015,"104,819",18e
2015,"84,750",19e
2015,"9,502",1er
2015,"96,809",20e
2015,"12,013",2e
2015,"20,213",3e
2015,"15,572",4e
2015,"32,810",5e
2015,"23,384",6e
2015,"28,755",7e
2015,"17,795",8e
2015,"31,786",9e
2016,"48,022",10e
2016,"83,828",11e
2016,"74,038",12e
2016,"90,380",13e
2016,"70,026",14e
2016,"124,801",15e
2016,"82,911",16e
2016,"88,840",17e
2016,"103,961",18e
2016,"86,192",19e
2016,"9,260",1er
2016,"97,354",20e
2016,"11,734",2e
2016,"20,112",3e
2016,"15,680",4e
2016,"32,597",5e
2016,"22,563",6e
2016,"28,201",7e
2016,"17,623",8e
2016,"31,712",9e
2017,"47,435",10e
2017,"83,621",11e
2017,"74,056",12e
2017,"91,258",13e
2017,"69,265",14e
2017,"124,517",15e
2017,"82,622",16e
2017,"88,741",17e
2017,"104,841",18e
2017,"87,118",19e
2017,"9,278",1er
2017,"98,311",20e
2017,"11,995",2e
2017,"19,930",3e
2017,"15,955",4e
2017,"32,466",5e
2017,"22,701",6e
2017,"27,565",7e
2017,"17,855",8e
2017,"31,759",9e
2018,"46,830",10e
2018,"83,930",11e
2018,"73,966",12e
2018,"91,744",13e
2018,"69,135",14e
2018,"124,656",15e
2018,"82,270",16e
2018,"88,267",17e
2018,"104,239",18e
2018,"87,588",19e
2018,"9,274",1er
2018,"98,961",20e
2018,"12,263",2e
2018,"19,788",3e
2018,"16,180",4e
2018,"32,093",5e
2018,"22,451",6e
2018,"27,130",7e
2018,"17,626",8e
2018,"32,048",9e
2019,"46,077",10e
2019,"84,008",11e
2019,"73,689",12e
2019,"91,756",13e
2019,"68,750",14e
2019,"124,017",15e
2019,"82,138",16e
2019,"88,374",17e
2019,"103,785",18e
2019,"87,772",19e
2019,"9,180",1er
2019,"99,143",20e
2019,"12,290",2e
2019,"19,750",3e
2019,"16,296",4e
2019,"31,778",5e
2019,"22,359",6e
2019,"26,446",7e
2019,"17,539",8e
2019,"32,279",9e
