Address,District/Arrondissement,Number of rooms,Size,Property Type,Lease_duration,Co-Living,Rent,Pets allowed
79 Rue de la Paix,11,4,632,Duplex,26,0,5407,0
10 Boulevard Saint-Germain,13,3,614,Duplex,7,0,4203,0
12 Avenue des Champs-Élysées,4,5,551,Villa,30,0,6628,0
57 Avenue des Champs-Élysées,18,4,1732,Villa,21,0,2858,1
52 Boulevard Saint-Germain,8,2,351,Duplex,20,0,8899,1
79 Boulevard Haussmann,10,2,876,Duplex,28,1,8239,0
131 Avenue Montaigne,5,5,650,Apartment,18,0,5674,1
163 Boulevard Haussmann,19,1,1745,Apartment,35,1,6205,1
31 Rue de la République,4,1,396,Apartment,11,0,1311,0
108 Rue du Faubourg Saint-Honoré,1,4,1646,Apartment,4,1,2936,0
67 Rue Saint-Honoré,17,5,921,Duplex,12,0,6631,1
98 Boulevard Saint-Germain,20,2,650,Duplex,10,1,7522,1
195 Rue de Rivoli,11,4,1766,Apartment,34,1,6374,1
13 Rue de la République,20,5,1301,Apartment,23,1,6860,0
2 Boulevard Saint-Germain,19,4,965,Apartment,24,0,5570,1
14 Boulevard Saint-Germain,7,3,1414,Villa,15,1,1797,1
60 Boulevard Saint-Germain,2,2,1948,Villa,29,1,1429,1
26 Rue Saint-Honoré,15,3,457,Villa,6,1,2166,1
56 Rue de la Paix,4,1,1620,Villa,24,1,8095,0
51 Rue Saint-Honoré,7,1,1688,Duplex,15,0,5216,1
103 Avenue des Champs-Élysées,19,2,1806,Villa,22,0,8892,0
130 Boulevard Haussmann,9,3,313,Villa,4,0,8529,0
148 Avenue Montaigne,12,4,1356,Duplex,20,0,2006,0
155 Rue Saint-Honoré,5,4,495,Apartment,36,1,7232,1
65 Rue de la République,8,5,1388,Duplex,36,0,4117,1
74 Rue de Rivoli,15,2,1339,Villa,3,0,8547,1
150 Boulevard Haussmann,1,5,1066,Villa,13,0,4433,0
137 Boulevard Haussmann,11,5,1845,Apartment,17,1,4472,0
88 Rue de la République,20,1,1148,Villa,34,1,3162,1
5 Rue Saint-Honoré,2,4,1803,Apartment,8,1,1898,1
182 Avenue des Champs-Élysées,1,4,1638,Duplex,20,0,5541,0
21 Rue de la République,10,2,1480,Apartment,2,1,5978,0
115 Boulevard Haussmann,15,1,1134,Duplex,12,1,2404,1
176 Rue du Faubourg Saint-Honoré,14,4,1976,Duplex,3,0,4198,0
192 Boulevard Haussmann,19,4,348,Duplex,29,0,7103,0
117 Rue Saint-Honoré,4,3,524,Apartment,36,0,7056,0
107 Rue Saint-Honoré,3,2,937,Villa,2,1,2959,0
29 Boulevard Saint-Germain,5,4,1305,Villa,23,1,3187,1
90 Rue de Vaugirard,13,3,688,Apartment,10,0,7931,0
170 Boulevard Saint-Germain,9,5,1392,Duplex,8,1,4752,1
59 Boulevard Saint-Germain,14,4,1204,Apartment,8,1,4187,0
154 Rue du Faubourg Saint-Honoré,17,4,1446,Villa,13,1,9434,0
